cod_prov;provincia;comunidad_autonoma;temporada_alta;presion_turistica_hab;estacionalidad_cv;ocupacion_hotel_media;ocupacion_hotel_pico;ocupacion_hotel_finsemana;poblacion;viajeros_hotel_anual;estancia_media_hotel;plazas_hotel_media;puntos_turisticos_ine;adr_medio;revpar_max;plazas_rural_media;ocupacion_rural_media;viajeros_rural_anual;estancia_media_rural;cluster_saturacion;saturacion;cluster_potencial;potencial
1;Araba/Álava;País Vasco/Euskadi;Verano;1.484581537410154;0.2063756287072902;54.36;73.06;62.6;333626.0;1027118.0;2.15;5427.0;1;92.07083333333333;89.31;1022.0;23.58;15136.0;2.42;0;Desaprovechado;0;Potencial bajo
2;Albacete;Castilla-La Mancha;Verano;1.0598166970274074;0.1890403156921354;35.29;57.0;43.01;386464.0;842801.0;2.06;6324.0;1;66.4875;50.1;5170.0;17.87;63870.0;2.64;0;Desaprovechado;0;Potencial bajo
3;Alacant/Alicante;Comunitat Valenciana;Verano;2.710712619342935;0.2639281906572524;62.18;80.19;68.57;1881762.0;10134012.0;3.72;79197.0;3;106.2075;136.07;1649.0;18.13;16062.0;2.32;1;Hipersaturado;2;Potencial alto
4;Almería;Andalucía;Verano;2.166413407088353;0.6137589504960345;44.94;70.89;51.14;731792.0;3125996.0;3.39;28562.0;5;89.28750000000001;137.15;1354.0;16.26;11035.0;2.4;1;Hipersaturado;2;Potencial alto
5;Ávila;Castilla y León;Verano;2.489127072799692;0.200240148151475;35.69;45.53;51.13;158421.0;781100.0;1.59;4770.0;1;69.87416666666667;36.13;5540.0;15.06;63811.0;2.32;0;Desaprovechado;0;Potencial bajo
6;Badajoz;Extremadura;Verano;1.1216700525268568;0.2090945167450689;38.77;47.79;45.73;669943.0;1520746.0;1.7;8858.0;1;65.20333333333333;37.18;2884.0;15.29;31324.0;2.06;0;Desaprovechado;0;Potencial bajo
7;Illes Balears;Illes Balears;Verano;10.835637949613302;0.8076917898411009;64.57;89.61;66.4;1173008.0;24904104.0;5.09;215775.0;12;136.4358333333333;194.11;8120.0;50.62;44601.0;2.47;1;Hipersaturado;1;Destinos estrella
8;Barcelona;Cataluña/Catalunya;Verano;2.4991938376791203;0.183283139479139;63.88;77.32;68.06;5714730.0;27759434.0;2.49;146132.0;4;150.6266666666667;140.75;4869.0;24.66;71853.0;2.42;1;Hipersaturado;1;Destinos estrella
9;Burgos;Castilla y León;Verano;2.728522278861412;0.3143399086924776;45.11;60.06;53.42;356055.0;1961777.0;1.5;8525.0;1;73.12833333333334;60.4;4032.0;19.86;56821.0;2.36;0;Desaprovechado;2;Potencial alto
10;Cáceres;Extremadura;Verano;1.700807068523814;0.2157306390907707;36.86;48.44;48.27;389558.0;1312904.0;1.83;8692.0;1;76.46666666666667;48.71;7447.0;17.64;85758.0;2.28;0;Desaprovechado;0;Potencial bajo
11;Cádiz;Andalucía;Verano;2.4078164628077947;0.4108596354576166;52.1;80.55;61.46;1245960.0;5838740.0;2.98;42669.0;7;108.45583333333332;160.02;1247.0;22.52;12764.0;2.53;1;Hipersaturado;2;Potencial alto
12;Castelló/Castellón;Comunitat Valenciana;Verano;2.294775356690242;0.4532123604916981;49.35;71.74;58.84;587064.0;2594470.0;3.01;19260.0;1;88.20583333333333;118.75;2953.0;12.43;21933.0;2.77;0;Desaprovechado;2;Potencial alto
13;Ciudad Real;Castilla-La Mancha;Verano;0.8996408785381788;0.1835013554914922;31.11;36.27;39.66;492591.0;902606.0;1.71;6650.0;1;60.67916666666667;29.71;2129.0;13.96;26615.0;1.97;0;Desaprovechado;0;Potencial bajo
14;Córdoba;Andalucía;Primavera;1.448022564686163;0.1649222048398685;46.07;57.5;54.59;776789.0;2345441.0;1.7;11368.0;1;84.03333333333333;79.52;2161.0;11.83;13838.0;2.55;0;Desaprovechado;0;Potencial bajo
15;A Coruña;Galicia;Verano;2.11058944733398;0.4260063910732186;44.19;68.63;50.98;1120134.0;4709790.0;1.75;24481.0;2;76.73083333333334;68.24;1346.0;23.8;20512.0;1.92;0;Desaprovechado;2;Potencial alto
16;Cuenca;Castilla-La Mancha;Verano;1.53481556496655;0.2373115004214541;28.16;36.23;38.21;195516.0;608587.0;1.76;5109.0;1;71.99249999999999;32.51;4145.0;13.65;42321.0;2.31;0;Desaprovechado;0;Potencial bajo
17;Girona;Cataluña/Catalunya;Verano;5.824170222070796;0.5235808197387745;53.23;82.23;62.11;786596.0;9029827.0;2.87;58278.0;1;98.1075;126.87;6526.0;22.99;82843.0;2.49;0;Desaprovechado;1;Destinos estrella
18;Granada;Andalucía;Otoño;3.1417340867303856;0.1223685361550411;51.09;58.85;59.62;921338.0;5703208.0;2.13;31771.0;3;97.83666666666666;69.88;2101.0;15.36;17572.0;2.44;0;Desaprovechado;2;Potencial alto
19;Guadalajara;Castilla-La Mancha;Otoño;1.157989065771044;0.1616311615732258;32.56;37.98;41.21;265588.0;611152.0;1.81;4615.0;2;80.31916666666667;38.75;3570.0;15.54;43447.0;2.18;0;Desaprovechado;0;Potencial bajo
