COD_INE;LOCALIDAD;VALOR PERNOCTACIONES EXTRANJERO;VALOR PERNOCTACIONES NACIONAL;VALOR VIAJERO EXTRANJERO;VALOR VIAJERO NACIONAL;PERIODO PERNOCTACIONES EXTRANJERO;PERIODO PERNOCTACIONES NACIONAL;PERIODO VIAJERO EXTRANJERO;PERIODO VIAJERO NACIONAL
3018;Altea;178244.0;149324.0;59581.0;72404.0;M09;M08;M05;M07
4032;Carboneras;5008.0;52569.0;2055.0;21598.0;M09;M08;M09;M08
7003;Alcúdia;3742634.0;220368.0;589171.0;46472.0;M08;M09;M08;M09
7015;Ciutadella de Menorca;1865860.0;346821.0;286179.0;80438.0;M08;M08;M08;M08
7024;Formentera;527785.0;176893.0;99379.0;55521.0;M08;M07;M08;M06
7026;Eivissa;1317572.0;242394.0;408204.0;104547.0;M08;M09;M07;M05
7039;Muro;2855951.0;145547.0;439682.0;31207.0;M07;M08;M07;M08
7042;Pollença;925936.0;88913.0;165686.0;18458.0;M07;M08;M07;M08
7046;Sant Antoni de Portmany;1440017.0;162982.0;347043.0;50567.0;M08;M09;M08;M08
7048;Sant Josep de sa Talaia;2080886.0;233848.0;475342.0;69918.0;M08;M05;M07;M05
7057;Santanyí;2371465.0;187100.0;418886.0;45447.0;M07;M10;M07;M10
7061;Sóller;471032.0;20453.0;123481.0;8635.0;M08;M06;M06;M06
8056;Castelldefels;388350.0;207003.0;156807.0;103792.0;M05;M04;M05;M04
8101;Hospitalet de Llobregat, L';777219.0;189937.0;337628.0;114173.0;M07;M03;M06;M03
8270;Sitges;573442.0;197995.0;182643.0;104248.0;M07;M08;M05;M03
11015;Chiclana de la Frontera;1044751.0;1086770.0;153754.0;305503.0;M10;M08;M05;M07
18134;Monachil;90314.0;190266.0;39930.0;86867.0;M01;M03;M01;M03
19130;Guadalajara;45175.0;185046.0;24018.0;114470.0;M10;M06;M10;M11
22125;Huesca;46509.0;105839.0;16565.0;56974.0;M08;M08;M08;M08
23092;Úbeda;19773.0;116198.0;11549.0;67283.0;M09;M10;M09;M09
25043;Vall de Boí, La;4950.0;83094.0;2443.0;27839.0;M08;M08;M08;M08
28005;Alcalá de Henares;184738.0;303156.0;85821.0;187146.0;M10;M05;M10;M09
29015;Antequera;41412.0;58192.0;20185.0;34578.0;M10;M08;M10;M10
36038;Pontevedra;111550.0;133904.0;86129.0;73541.0;M05;M07;M09;M07
18017;Almuñécar;333276.0;418600.0;52614.0;138623.0;M10;M08;M05;M08
35003;Antigua;2134591.0;155662.0;296738.0;47979.0;M08;M08;M03;M08
35014;Oliva, La;2483771.0;229864.0;332412.0;52527.0;M08;M08;M10;M08
35024;Teguise;2182897.0;321562.0;294602.0;64153.0;M10;M08;M10;M08
35034;Yaiza;4508668.0;562652.0;612714.0;95684.0;M10;M08;M10;M08
11014;Conil de la Frontera;276415.0;583320.0;48705.0;149478.0;M10;M08;M10;M08
13034;Ciudad Real;16281.0;102162.0;10104.0;61478.0;M08;M10;M08;M10
17079;Girona;320098.0;183292.0;189553.0;122482.0;M08;M05;M08;M03
19257;Sigüenza;7931.0;69683.0;4616.0;37768.0;M05;M08;M05;M08
37107;Ciudad Rodrigo;19687.0;64924.0;15172.0;40314.0;M09;M04;M09;M04
1059; Vitoria-Gastéiz;175065.0;293398.0;57422.0;136922.0;M07;M04;M07;M04
3014; Alicante;1063874.0;367537.0;360259.0;181608.0;M07;M06;M05;M06
3031; Benidorm;4105484.0;2238270.0;834735.0;551668.0;M07;M07;M05;M07
4079; Roquetas De Mar;422242.0;1204081.0;67216.0;275930.0;M07;M07;M07;M07
7011; Calviá;5011762.0;415170.0;909972.0;96775.0;M07;M03;M07;M04
7040; Palma De Mallorca;5493588.0;547768.0;1465707.0;231361.0;M07;M04;M06;M04
8019; Barcelona;11002159.0;1750015.0;4400372.0;965162.0;M07;M03;M07;M03
12040; Castellón De La Plana;90769.0;187304.0;44030.0;99047.0;M05;M07;M05;M07
38001; Adeje;6069924.0;302222.0;859460.0;76113.0;M07;M07;M03;M07
2003; Albacete;32020.0;171794.0;16601.0;111280.0;M02;M05;M04;M05
44009; Albarracín;6936.0;37844.0;4255.0;20366.0;M05;M04;M03;M04
11004; Algeciras;73041.0;88538.0;43367.0;43260.0;M07;M03;M03;M03
4013; Almería;145353.0;370676.0;57518.0;159827.0;M07;M07;M07;M07
38006; Arona;3119984.0;256692.0;452058.0;57152.0;M07;M07;M03;M07
29025; Benalmádena;1790442.0;422222.0;311932.0;119887.0;M05;M07;M05;M07
48020; Bilbao;806450.0;572299.0;380174.0;322468.0;M07;M03;M07;M03
9059; Burgos;143716.0;285190.0;97970.0;185794.0;M07;M04;M07;M04
30016; Cartagena;136438.0;446812.0;45008.0;143395.0;M06;M07;M07;M07
15030; Coruña;153738.0;476021.0;72513.0;242259.0;M07;M07;M07;M07
16078; Cuenca;29163.0;150983.0;14838.0;80936.0;M05;M04;M05;M04
10037; Cáceres;58335.0;212795.0;38245.0;133793.0;M05;M04;M05;M04
11012; Cádiz;169297.0;267221.0;71873.0;128570.0;M05;M07;M05;M07
14021; Córdoba;414298.0;502431.0;247867.0;292608.0;M05;M05;M05;M03
20069; Donostia-San Sebastián;801730.0;406061.0;359555.0;208706.0;M07;M04;M07;M03
11027; El Puerto De Santa María;52988.0;227206.0;15359.0;89147.0;M05;M07;M04;M07
29054; Fuengirola;1202951.0;271960.0;234604.0;106655.0;M06;M07;M05;M07
46131; Gandía;123702.0;581275.0;31154.0;166275.0;M04;M07;M04;M06
33024; Gijón;76059.0;343505.0;37791.0;184786.0;M07;M07;M07;M07
18087; Granada;1056974.0;882833.0;567516.0;494813.0;M05;M03;M05;M03
11020; Jerez De La Frontera;143503.0;251027.0;59171.0;129157.0;M05;M07;M04;M06
35016; Las Palmas De Gran Canaria;522241.0;413751.0;131411.0;169506.0;M01;M07;M01;M07
24089; León;75805.0;302619.0;46073.0;180616.0;M05;M04;M05;M05
33036; Llanes;30177.0;104011.0;16455.0;48428.0;M07;M07;M06;M07
25120; Lleida;66245.0;152617.0;36890.0;86858.0;M05;M05;M05;M04
26089; Logroño;77606.0;246668.0;41915.0;150756.0;M07;M04;M05;M06
27028; Lugo;36858.0;163905.0;22070.0;90077.0;M05;M07;M05;M07
28079; Madrid;8282184.0;4167335.0;3589580.0;2495799.0;M05;M06;M05;M06
29069; Marbella;1260974.0;260214.0;353759.0;104616.0;M07;M07;M07;M07
35012; Mogán;2828740.0;147521.0;363303.0;46779.0;M03;M07;M01;M06
4064; Mojácar;84136.0;322043.0;18455.0;93866.0;M05;M07;M05;M06
30030; Murcia;128440.0;392723.0;66135.0;251466.0;M07;M05;M07;M06
29067; Málaga;1565476.0;556074.0;671929.0;317391.0;M07;M03;M07;M03
6083; Mérida;50615.0;196111.0;36421.0;124343.0;M05;M07;M07;M07
29075; Nerja;456947.0;117136.0;98814.0;52994.0;M05;M07;M05;M07
33044; Oviedo;130050.0;425379.0;62445.0;217733.0;M07;M07;M05;M04
35015; Pajara;4008885.0;552517.0;499150.0;96925.0;M03;M07;M03;M07
31201; Pamplona;129391.0;267438.0;75782.0;159471.0;M07;M04;M07;M04
38028; Puerto De La Cruz;1559601.0;861618.0;220264.0;201221.0;M02;M06;M02;M07
27051; Ribadeo;11535.0;39035.0;8030.0;23037.0;M06;M07;M06;M07
29084; Ronda;142765.0;67832.0;90757.0;43734.0;M04;M07;M05;M07
37274; Salamanca;224599.0;384774.0;143468.0;239083.0;M07;M05;M07;M07
35019; San Bartolomé De Tirajana;6756867.0;819051.0;863083.0;197826.0;M01;M07;M02;M07
38038; Santa Cruz De Tenerife;157584.0;178514.0;59832.0;95258.0;M01;M07;M01;M07
39075; Santander;177256.0;369807.0;91273.0;192639.0;M05;M07;M05;M07
15078; Santiago De Compostela;416043.0;331720.0;260225.0;204830.0;M05;M07;M05;M07
40194; Segovia;92506.0;190799.0;44318.0;118455.0;M05;M03;M05;M07
41091; Sevilla;2723287.0;1154458.0;1122058.0;682734.0;M05;M04;M05;M06
42173; Soria;14202.0;119474.0;6799.0;61882.0;M06;M04;M05;M05
11035; Tarifa;121510.0;159178.0;32785.0;61881.0;M03;M07;M05;M07
43148; Tarragona;107160.0;125402.0;59061.0;74842.0;M07;M07;M07;M07
44216; Teruel;24662.0;148697.0;13889.0;80869.0;M07;M05;M07;M05
35028; Tias;1978110.0;150537.0;273094.0;31958.0;M07;M07;M02;M07
45168; Toledo;160718.0;405557.0;100578.0;261439.0;M05;M04;M05;M04
29901; Torremolinos;2536392.0;724358.0;465058.0;230593.0;M07;M07;M05;M07
46250; Valencia;2147672.0;994600.0;732627.0;529789.0;M07;M03;M07;M03
47186; Valladolid;88514.0;320994.0;50952.0;190530.0;M07;M06;M07;M06
36057; Vigo;165676.0;311203.0;95080.0;156371.0;M07;M07;M05;M07
49275; Zamora;12288.0;90476.0;8395.0;55879.0;M05;M04;M05;M04
5019; Ávila;51951.0;197429.0;35636.0;129044.0;M05;M05;M05;M05
50297; Zaragoza;317957.0;812151.0;179199.0;486188.0;M05;M04;M07;M04
