COD;Nombre;T3_Unidad;T3_Escala;Fecha;T3_Periodo;T3_TipoDato;Anyo;Valor;MetaData_json;tabla_id;_meta.fecha_extraccion
DPOP1;Total Nacional. Total. Total habitantes. Personas. ;Personas; ;2021-01-01T00:00:00.000+01:00;A;Definitivo;2021;47385107.0;"[{""Id"": 16473, ""T3_Variable"": ""Comunidades y Ciudades Autónomas"", ""Nombre"": ""Total"", ""Codigo"": ""00""}, {""Id"": 451, ""T3_Variable"": ""Sexo"", ""Nombre"": ""Total"", ""Codigo"": ""0""}, {""Id"": 8677, ""T3_Variable"": ""Tamaño de los municipios"", ""Nombre"": ""Total habitantes"", ""Codigo"": ""0""}, {""Id"": 20258, ""T3_Variable"": ""Tipo de dato"", ""Nombre"": ""Personas"", ""Codigo"": """"}]";2852;2026-09-07T22:13:34.997660
DPOP2;Total Nacional. Hombres. Total habitantes. Personas. ;Personas; ;2021-01-01T00:00:00.000+01:00;A;Definitivo;2021;23222953.0;"[{""Id"": 16473, ""T3_Variable"": ""Comunidades y Ciudades Autónomas"", ""Nombre"": ""Total"", ""Codigo"": ""00""}, {""Id"": 452, ""T3_Variable"": ""Sexo"", ""Nombre"": ""Hombres"", ""Codigo"": ""1""}, {""Id"": 8677, ""T3_Variable"": ""Tamaño de los municipios"", ""Nombre"": ""Total habitantes"", ""Codigo"": ""0""}, {""Id"": 20258, ""T3_Variable"": ""Tipo de dato"", ""Nombre"": ""Personas"", ""Codigo"": """"}]";2852;2026-09-07T22:13:34.997660
DPOP3;Total Nacional. Mujeres. Total habitantes. Personas. ;Personas; ;2021-01-01T00:00:00.000+01:00;A;Definitivo;2021;24162154.0;"[{""Id"": 16473, ""T3_Variable"": ""Comunidades y Ciudades Autónomas"", ""Nombre"": ""Total"", ""Codigo"": ""00""}, {""Id"": 453, ""T3_Variable"": ""Sexo"", ""Nombre"": ""Mujeres"", ""Codigo"": ""2""}, {""Id"": 8677, ""T3_Variable"": ""Tamaño de los municipios"", ""Nombre"": ""Total habitantes"", ""Codigo"": ""0""}, {""Id"": 20258, ""T3_Variable"": ""Tipo de dato"", ""Nombre"": ""Personas"", ""Codigo"": """"}]";2852;2026-09-07T22:13:34.997660
DPOP160;Albacete. Total. Total habitantes. Personas. ;Personas; ;2021-01-01T00:00:00.000+01:00;A;Definitivo;2021;386464.0;"[{""Id"": 3, ""T3_Variable"": ""Provincias"", ""Nombre"": ""Albacete"", ""Codigo"": ""02""}, {""Id"": 451, ""T3_Variable"": ""Sexo"", ""Nombre"": ""Total"", ""Codigo"": ""0""}, {""Id"": 8677, ""T3_Variable"": ""Tamaño de los municipios"", ""Nombre"": ""Total habitantes"", ""Codigo"": ""0""}, {""Id"": 20258, ""T3_Variable"": ""Tipo de dato"", ""Nombre"": ""Personas"", ""Codigo"": """"}]";2852;2026-09-07T22:13:34.997660
DPOP161;Albacete. Hombres. Total habitantes. Personas. ;Personas; ;2021-01-01T00:00:00.000+01:00;A;Definitivo;2021;193205.0;"[{""Id"": 3, ""T3_Variable"": ""Provincias"", ""Nombre"": ""Albacete"", ""Codigo"": ""02""}, {""Id"": 452, ""T3_Variable"": ""Sexo"", ""Nombre"": ""Hombres"", ""Codigo"": ""1""}, {""Id"": 8677, ""T3_Variable"": ""Tamaño de los municipios"", ""Nombre"": ""Total habitantes"", ""Codigo"": ""0""}, {""Id"": 20258, ""T3_Variable"": ""Tipo de dato"", ""Nombre"": ""Personas"", ""Codigo"": """"}]";2852;2026-09-07T22:13:34.997660
DPOP162;Albacete. Mujeres. Total habitantes. Personas. ;Personas; ;2021-01-01T00:00:00.000+01:00;A;Definitivo;2021;193259.0;"[{""Id"": 3, ""T3_Variable"": ""Provincias"", ""Nombre"": ""Albacete"", ""Codigo"": ""02""}, {""Id"": 453, ""T3_Variable"": ""Sexo"", ""Nombre"": ""Mujeres"", ""Codigo"": ""2""}, {""Id"": 8677, ""T3_Variable"": ""Tamaño de los municipios"", ""Nombre"": ""Total habitantes"", ""Codigo"": ""0""}, {""Id"": 20258, ""T3_Variable"": ""Tipo de dato"", ""Nombre"": ""Personas"", ""Codigo"": """"}]";2852;2026-09-07T22:13:34.997660
DPOP424;Alicante/Alacant. Total. Total habitantes. Personas. ;Personas; ;2021-01-01T00:00:00.000+01:00;A;Definitivo;2021;1881762.0;"[{""Id"": 4, ""T3_Variable"": ""Provincias"", ""Nombre"": ""Alicante/Alacant"", ""Codigo"": ""03""}, {""Id"": 451, ""T3_Variable"": ""Sexo"", ""Nombre"": ""Total"", ""Codigo"": ""0""}, {""Id"": 8677, ""T3_Variable"": ""Tamaño de los municipios"", ""Nombre"": ""Total habitantes"", ""Codigo"": ""0""}, {""Id"": 20258, ""T3_Variable"": ""Tipo de dato"", ""Nombre"": ""Personas"", ""Codigo"": """"}]";2852;2026-09-07T22:13:34.997660
DPOP425;Alicante/Alacant. Hombres. Total habitantes. Personas. ;Personas; ;2021-01-01T00:00:00.000+01:00;A;Definitivo;2021;932018.0;"[{""Id"": 4, ""T3_Variable"": ""Provincias"", ""Nombre"": ""Alicante/Alacant"", ""Codigo"": ""03""}, {""Id"": 452, ""T3_Variable"": ""Sexo"", ""Nombre"": ""Hombres"", ""Codigo"": ""1""}, {""Id"": 8677, ""T3_Variable"": ""Tamaño de los municipios"", ""Nombre"": ""Total habitantes"", ""Codigo"": ""0""}, {""Id"": 20258, ""T3_Variable"": ""Tipo de dato"", ""Nombre"": ""Personas"", ""Codigo"": """"}]";2852;2026-09-07T22:13:34.997660
DPOP426;Alicante/Alacant. Mujeres. Total habitantes. Personas. ;Personas; ;2021-01-01T00:00:00.000+01:00;A;Definitivo;2021;949744.0;"[{""Id"": 4, ""T3_Variable"": ""Provincias"", ""Nombre"": ""Alicante/Alacant"", ""Codigo"": ""03""}, {""Id"": 453, ""T3_Variable"": ""Sexo"", ""Nombre"": ""Mujeres"", ""Codigo"": ""2""}, {""Id"": 8677, ""T3_Variable"": ""Tamaño de los municipios"", ""Nombre"": ""Total habitantes"", ""Codigo"": ""0""}, {""Id"": 20258, ""T3_Variable"": ""Tipo de dato"", ""Nombre"": ""Personas"", ""Codigo"": """"}]";2852;2026-09-07T22:13:34.997660
DPOP850;Almería. Total. Total habitantes. Personas. ;Personas; ;2021-01-01T00:00:00.000+01:00;A;Definitivo;2021;731792.0;"[{""Id"": 5, ""T3_Variable"": ""Provincias"", ""Nombre"": ""Almería"", ""Codigo"": ""04""}, {""Id"": 451, ""T3_Variable"": ""Sexo"", ""Nombre"": ""Total"", ""Codigo"": ""0""}, {""Id"": 8677, ""T3_Variable"": ""Tamaño de los municipios"", ""Nombre"": ""Total habitantes"", ""Codigo"": ""0""}, {""Id"": 20258, ""T3_Variable"": ""Tipo de dato"", ""Nombre"": ""Personas"", ""Codigo"": """"}]";2852;2026-09-07T22:13:34.997660
DPOP851;Almería. Hombres. Total habitantes. Personas. ;Personas; ;2021-01-01T00:00:00.000+01:00;A;Definitivo;2021;373136.0;"[{""Id"": 5, ""T3_Variable"": ""Provincias"", ""Nombre"": ""Almería"", ""Codigo"": ""04""}, {""Id"": 452, ""T3_Variable"": ""Sexo"", ""Nombre"": ""Hombres"", ""Codigo"": ""1""}, {""Id"": 8677, ""T3_Variable"": ""Tamaño de los municipios"", ""Nombre"": ""Total habitantes"", ""Codigo"": ""0""}, {""Id"": 20258, ""T3_Variable"": ""Tipo de dato"", ""Nombre"": ""Personas"", ""Codigo"": """"}]";2852;2026-09-07T22:13:34.997660
DPOP852;Almería. Mujeres. Total habitantes. Personas. ;Personas; ;2021-01-01T00:00:00.000+01:00;A;Definitivo;2021;358656.0;"[{""Id"": 5, ""T3_Variable"": ""Provincias"", ""Nombre"": ""Almería"", ""Codigo"": ""04""}, {""Id"": 453, ""T3_Variable"": ""Sexo"", ""Nombre"": ""Mujeres"", ""Codigo"": ""2""}, {""Id"": 8677, ""T3_Variable"": ""Tamaño de los municipios"", ""Nombre"": ""Total habitantes"", ""Codigo"": ""0""}, {""Id"": 20258, ""T3_Variable"": ""Tipo de dato"", ""Nombre"": ""Personas"", ""Codigo"": """"}]";2852;2026-09-07T22:13:34.997660
DPOP4;Araba/Álava. Total. Total habitantes. Personas. ;Personas; ;2021-01-01T00:00:00.000+01:00;A;Definitivo;2021;333626.0;"[{""Id"": 2, ""T3_Variable"": ""Provincias"", ""Nombre"": ""Araba/Álava"", ""Codigo"": ""01""}, {""Id"": 451, ""T3_Variable"": ""Sexo"", ""Nombre"": ""Total"", ""Codigo"": ""0""}, {""Id"": 8677, ""T3_Variable"": ""Tamaño de los municipios"", ""Nombre"": ""Total habitantes"", ""Codigo"": ""0""}, {""Id"": 20258, ""T3_Variable"": ""Tipo de dato"", ""Nombre"": ""Personas"", ""Codigo"": """"}]";2852;2026-09-07T22:13:34.997660
DPOP5;Araba/Álava. Hombres. Total habitantes. Personas. ;Personas; ;2021-01-01T00:00:00.000+01:00;A;Definitivo;2021;164252.0;"[{""Id"": 2, ""T3_Variable"": ""Provincias"", ""Nombre"": ""Araba/Álava"", ""Codigo"": ""01""}, {""Id"": 452, ""T3_Variable"": ""Sexo"", ""Nombre"": ""Hombres"", ""Codigo"": ""1""}, {""Id"": 8677, ""T3_Variable"": ""Tamaño de los municipios"", ""Nombre"": ""Total habitantes"", ""Codigo"": ""0""}, {""Id"": 20258, ""T3_Variable"": ""Tipo de dato"", ""Nombre"": ""Personas"", ""Codigo"": """"}]";2852;2026-09-07T22:13:34.997660
