COD_PROV;Provincia;VALOR PERNOCTACIONES;VALOR VIAJERO;PERIODO PERNOCTACIONES;PERIODO VIAJERO
1;Alava;982555.0;456280.0;M08;M08
2;Albacete;802323.0;373917.0;M09;M09
3;Alicante;16590966.0;4345693.0;M08;M08
4;Almería;4567704.0;1372225.0;M08;M08
5;Avila;563816.0;355110.0;M08;M08
6;Badajoz;1124676.0;665207.0;M08;M08
7;Balears, Illes;57461010.0;10865198.0;M08;M08
8;Barcelona;29851037.0;11914458.0;M08;M08
9;Burgos;1352146.0;914336.0;M08;M08
10;Cáceres;1053828.0;575695.0;M08;M08
11;Cádiz;7851051.0;2527031.0;M08;M08
12;Castellón;3461912.0;1155216.0;M08;M08
13;Ciudad Real;681416.0;392530.0;M08;M08
14;Córdoba;1666547.0;977406.0;M10;M10
15;A Coruña;3811149.0;2142876.0;M08;M08
16;Cuenca;491531.0;280234.0;M08;M08
17;Girona;11501004.0;3799376.0;M08;M08
18;Granada;5251610.0;2443931.0;M08;M10
19;Guadalajara;485248.0;268283.0;M10;M10
20;Guipúzcoa;2870201.0;1394417.0;M08;M08
21;Huelva;3334969.0;944213.0;M08;M08
22;Huesca;1857200.0;841428.0;M08;M08
23;Jaén;940011.0;522649.0;M08;M10
24;León;1327610.0;793827.0;M08;M08
25;Lleida;1741792.0;806622.0;M08;M08
26;Rioja, La;1106339.0;646684.0;M08;M08
27;Lugo;1284963.0;783758.0;M08;M08
28;Madrid;23527348.0;11411729.0;M10;M10
29;Málaga;19346675.0;5413153.0;M08;M08
30;Murcia;3023967.0;1323116.0;M08;M08
31;Navarra;1974811.0;1007302.0;M08;M08
32;Ourense;614169.0;307536.0;M08;M08
33;Asturias;3617017.0;1787079.0;M08;M08
34;Palencia;377377.0;188635.0;M08;M08
35;Las Palmas;38806848.0;5616825.0;M08;M08
36;Pontevedra;3638967.0;1710105.0;M08;M08
37;Salamanca;1644347.0;984385.0;M08;M08
38;Santa Cruz Tenerife;23497726.0;3909971.0;M08;M08
39;Cantabria;2705531.0;1211556.0;M08;M08
40;Segovia;935748.0;522987.0;M08;M08
41;Sevilla;6745638.0;3298461.0;M10;M10
42;Soria;436566.0;236196.0;M08;M08
43;Tarragona;9543477.0;2748303.0;M08;M08
44;Teruel;861358.0;432082.0;M08;M08
45;Toledo;1423093.0;843151.0;M10;M10
46;Valencia;7522289.0;3098708.0;M08;M08
47;Valladolid;1087724.0;621335.0;M08;M08
48;Vizcaya;3072731.0;1571395.0;M08;M08
49;Zamora;324877.0;197984.0;M08;M08
50;Zaragoza;2467114.0;1418404.0;M08;M08
