Valor;Localidad;Genero;Metrica;Unidad;COD_INE
73.0;Ababuj;Total;Total habitantes;Personas.;44001
849.0;Abades;Total;Total habitantes;Personas.;40001
337.0;Abadía;Total;Total habitantes;Personas.;10001
2239.0;Abadín;Total;Total habitantes;Personas.;27001
7768.0;Abadiño;Total;Total habitantes;Personas.;48001
74.0;Abáigar;Total;Total habitantes;Personas.;31001
28.0;Abajas;Total;Total habitantes;Personas.;09001
256.0;Ábalos;Total;Total habitantes;Personas.;26001
321.0;Abaltzisketa;Total;Total habitantes;Personas.;20001
64.0;Abánades;Total;Total habitantes;Personas.;19001
6256.0;Abanilla;Total;Total habitantes;Personas.;30001
78.0;Abanto;Total;Total habitantes;Personas.;50001
9379.0;Abanto y Ciérvana-Abanto Zierbena;Total;Total habitantes;Personas.;48002
13228.0;Abarán;Total;Total habitantes;Personas.;30002
38.0;Abarca de Campos;Total;Total habitantes;Personas.;34001
510.0;Abárzuza/Abartzuza;Total;Total habitantes;Personas.;31002
121.0;Abaurregaina/Abaurrea Alta;Total;Total habitantes;Personas.;31003
30.0;Abaurrepea/Abaurrea Baja;Total;Total habitantes;Personas.;31004
5631.0;Abegondo;Total;Total habitantes;Personas.;15001
287.0;Abejar;Total;Total habitantes;Personas.;42001
62.0;Abejuela;Total;Total habitantes;Personas.;44002
156.0;Abella de la Conca;Total;Total habitantes;Personas.;25001
753.0;Abengibre;Total;Total habitantes;Personas.;02001
1309.0;Abenójar;Total;Total habitantes;Personas.;13001
410.0;Aberin;Total;Total habitantes;Personas.;31005
362.0;Abertura;Total;Total habitantes;Personas.;10002
58.0;Abezames;Total;Total habitantes;Personas.;49002
68.0;Abia de la Obispalía;Total;Total habitantes;Personas.;16001
165.0;Abia de las Torres;Total;Total habitantes;Personas.;34003
259.0;Abiego;Total;Total habitantes;Personas.;22001
162.0;Abizanda;Total;Total habitantes;Personas.;22002
1268.0;Abla;Total;Total habitantes;Personas.;04001
70.0;Ablanque;Total;Total habitantes;Personas.;19002
2657.0;Ablitas;Total;Total habitantes;Personas.;31006
13227.0;Abrera;Total;Total habitantes;Personas.;08001
1241.0;Abrucena;Total;Total habitantes;Personas.;04002
148.0;Abusejo;Total;Total habitantes;Personas.;37001
70.0;Acebeda, La;Total;Total habitantes;Personas.;28001
181.0;Acebedo;Total;Total habitantes;Personas.;24001
567.0;Acebo;Total;Total habitantes;Personas.;10003
234.0;Acebrón, El;Total;Total habitantes;Personas.;16002
815.0;Acedera;Total;Total habitantes;Personas.;06001
808.0;Acehúche;Total;Total habitantes;Personas.;10004
569.0;Aceituna;Total;Total habitantes;Personas.;10005
131.0;Acered;Total;Total habitantes;Personas.;50002
5307.0;Aceuchal;Total;Total habitantes;Personas.;06002
196.0;Adahuesca;Total;Total habitantes;Personas.;22003
50.0;Adalia;Total;Total habitantes;Personas.;47001
4100.0;Adamuz;Total;Total habitantes;Personas.;14001
207.0;Adanero;Total;Total habitantes;Personas.;05001
50021.0;Adeje;Total;Total habitantes;Personas.;38001
1015.0;Ademuz;Total;Total habitantes;Personas.;46001
194.0;Adiós;Total;Total habitantes;Personas.;31007
28.0;Adobes;Total;Total habitantes;Personas.;19003
1755.0;Ador;Total;Total habitantes;Personas.;46002
25501.0;Adra;Total;Total habitantes;Personas.;04003
200.0;Adrada de Haza;Total;Total habitantes;Personas.;09003
39.0;Adrada de Pirón;Total;Total habitantes;Personas.;40002
2853.0;Adrada, La;Total;Total habitantes;Personas.;05002
65.0;Adradas;Total;Total habitantes;Personas.;42003
113.0;Adrados;Total;Total habitantes;Personas.;40003
500.0;Aduna;Total;Total habitantes;Personas.;20002
5683.0;Agaete;Total;Total habitantes;Personas.;35001
122.0;Agallas;Total;Total habitantes;Personas.;37002
637.0;Àger;Total;Total habitantes;Personas.;25002
2225.0;Agolada;Total;Total habitantes;Personas.;36020
135.0;Agón;Total;Total habitantes;Personas.;50003
1464.0;Agoncillo;Total;Total habitantes;Personas.;26002
5225.0;Agost;Total;Total habitantes;Personas.;03002
5653.0;Agramunt;Total;Total habitantes;Personas.;25003
3133.0;Ágreda;Total;Total habitantes;Personas.;42004
623.0;Agres;Total;Total habitantes;Personas.;03003
247.0;Agrón;Total;Total habitantes;Personas.;18001
2109.0;Aguadulce;Total;Total habitantes;Personas.;41001
602.0;Aguarón;Total;Total habitantes;Personas.;50004
61.0;Aguas Cándidas;Total;Total habitantes;Personas.;09006
18.0;Aguasal;Total;Total habitantes;Personas.;47002
18.0;Aguatón;Total;Total habitantes;Personas.;44003
562.0;Aguaviva;Total;Total habitantes;Personas.;44004
1605.0;Agudo;Total;Total habitantes;Personas.;13002
142.0;Agüero;Total;Total habitantes;Personas.;22004
564.0;Aguilafuente;Total;Total habitantes;Personas.;40004
46.0;Aguilar de Bureba;Total;Total habitantes;Personas.;09007
6916.0;Aguilar de Campoo;Total;Total habitantes;Personas.;34004
258.0;Aguilar de Campos;Total;Total habitantes;Personas.;47003
74.0;Aguilar de Codés;Total;Total habitantes;Personas.;31008
13130.0;Aguilar de la Frontera;Total;Total habitantes;Personas.;14002
292.0;Aguilar de Segarra;Total;Total habitantes;Personas.;08002
82.0;Aguilar del Alfambra;Total;Total habitantes;Personas.;44005
421.0;Aguilar del Río Alhama;Total;Total habitantes;Personas.;26003
37811.0;Águilas;Total;Total habitantes;Personas.;30003
265.0;Aguilón;Total;Total habitantes;Personas.;50005
33800.0;Agüimes;Total;Total habitantes;Personas.;35002
880.0;Agullana;Total;Total habitantes;Personas.;17001
2438.0;Agullent;Total;Total habitantes;Personas.;46004
1078.0;Agulo;Total;Total habitantes;Personas.;38002
5189.0;Agurain/Salvatierra;Total;Total habitantes;Personas.;01051
1340.0;Ahigal;Total;Total habitantes;Personas.;10006
93.0;Ahigal de los Aceiteros;Total;Total habitantes;Personas.;37003
30.0;Ahigal de Villarino;Total;Total habitantes;Personas.;37004
793.0;Ahillones;Total;Total habitantes;Personas.;06003
2148.0;Aia;Total;Total habitantes;Personas.;20016
754.0;Aibar/Oibar;Total;Total habitantes;Personas.;31009
4624.0;Aielo de Malferit;Total;Total habitantes;Personas.;46042
160.0;Aielo de Rugat;Total;Total habitantes;Personas.;46043
2569.0;Aiguafreda;Total;Total habitantes;Personas.;08014
987.0;Aiguamúrcia;Total;Total habitantes;Personas.;43001
804.0;Aiguaviva;Total;Total habitantes;Personas.;17002
1199.0;Aigües;Total;Total habitantes;Personas.;03004
133.0;Aín;Total;Total habitantes;Personas.;12002
2335.0;Aínsa-Sobrarbe;Total;Total habitantes;Personas.;22907
1036.0;Ainzón;Total;Total habitantes;Personas.;50006
326.0;Aisa;Total;Total habitantes;Personas.;22006
