COD_INE;COD_GEO;COD_PROV;PROVINCIA;NOMBRE_ACTUAL;POBLACION_MUNI;SUPERFICIE;PERIMETRO;COD_INE_CAPITAL;CAPITAL;POBLACION_CAPITAL;LONGITUD_ETRS89_REGCAN95;LATITUD_ETRS89_REGCAN95;ALTITUD;COD_CA;COMUNIDAD_AUTONOMA;Personas_Valor;Personas_Localidad;Personas_Genero;Personas_Metrica;Personas_Unidad
1001;1010;1;Araba/Álava;Alegría-Dulantzi;2961;1994,5872;35069;1001000101;Alegría-Dulantzi;2842;-2,512507724;42,84045247;568;16;País Vasco/Euskadi;2955.0;Alegría-Dulantzi;Total;Total habitantes;Personas.
1002;1020;1;Araba/Álava;Amurrio;10346;9617,86;65701;1002000201;Amurrio;9256;-3,001015194;43,05265767;217;16;País Vasco/Euskadi;10364.0;Amurrio;Total;Total habitantes;Personas.
1003;1030;1;Araba/Álava;Aramaio;1353;7308,96;42097;1003000601;Ibarra;731;-2,564829379;43,05257873;325;16;País Vasco/Euskadi;1354.0;Aramaio;Total;Total habitantes;Personas.
1004;1040;1;Araba/Álava;Artziniega;1868;2728,73;22886;1004000101;Artziniega;1732;-3,13052099;43,1217919;199;16;País Vasco/Euskadi;1868.0;Artziniega;Total;Total habitantes;Personas.
1006;1060;1;Araba/Álava;Armiñón;233;1297,27;24707;1006000101;Armiñón;106;-2,872270813;42,72340924;466;16;País Vasco/Euskadi;236.0;Armiñón;Total;Total habitantes;Personas.
1008;1080;1;Araba/Álava;Arratzua-Ubarrundia;1058;5753,18;67180;1008000501;Durana;394;-2,640208161;42,88990689;514;16;País Vasco/Euskadi;1056.0;Arratzua-Ubarrundia;Total;Total habitantes;Personas.
1009;1090;1;Araba/Álava;Asparrena;1611;6510,76;53754;1009000401;Araia;1210;-2,317425972;42,88962423;603;16;País Vasco/Euskadi;1609.0;Asparrena;Total;Total habitantes;Personas.
1010;1100;1;Araba/Álava;Ayala/Aiara;2917;14098,25;64488;1010002001;Arespalditza/Respaldiza;425;-3,042683621;43,07792083;311;16;País Vasco/Euskadi;2921.0;Ayala/Aiara;Total;Total habitantes;Personas.
1011;1110;1;Araba/Álava;Baños de Ebro/Mañueta;292;950,39;18666;1011000101;Baños de Ebro/Mañueta;292;-2,679560658;42,53023483;428;16;País Vasco/Euskadi;286.0;Baños de Ebro/Mañueta;Total;Total habitantes;Personas.
1013;1130;1;Araba/Álava;Barrundia;882;9729,68;57551;1013001401;Ozaeta;201;-2,496599499;42,91759943;562;16;País Vasco/Euskadi;882.0;Barrundia;Total;Total habitantes;Personas.
