COD_PROV;PROVINCIA;COD_CA;COMUNIDAD_AUTONOMA;CAPITAL;Perc_Provincia;Perc_VALOR PERNOCTACIONES;Perc_VALOR VIAJERO;Perc_PERIODO PERNOCTACIONES;Perc_PERIODO VIAJERO;COD_INE;Ratios_Provincia;Ratios_Periodo ADR Dato;Ratios_Periodo ADR Tasa Var;Ratios_Periodo RevPar Dato;Ratios_Periodo RevPar Tasa Var;Ratios_Valor ADR Dato;Ratios_Valor ADR Tasa Var;Ratios_Valor RevPar Dato;Ratios_Valor RevPar Tasa Var;Ratios_ADR Anual Medio;cod_prov;Metricas_provincia;Metricas_poblacion;Metricas_total_viajeros;Metricas_media_mensual_viajeros;Metricas_std_mensual_viajeros;Metricas_presion_turistica;Metricas_indice_estacionalidad;Metricas_n_meses;Metricas__meta.fecha_extraccion
1;Araba/Álava;16;País Vasco/Euskadi;Vitoria-Gasteiz;Alava;983700.0;456184.0;M08;M08;1;ArabaÁlava;M07;M06;M07;M10;117.12;13.91;89.31;27.88;92.07083333333333;1;Araba/Álava;333626.0;495295.0;41274.583333333336;8518.06808504811;1.484581537410154;0.2063756287072902;12;2026-09-06T23:46:39.776749
2;Albacete;8;Castilla-La Mancha;Albacete;Albacete;796963.0;370581.0;M09;M09;2;Albacete;M09;M11;M09;M09;75.62;20.13;50.1;54.79;66.4875;2;Albacete;386464.0;409581.0;34131.75;6452.276795125043;1.0598166970274074;0.1890403156921354;12;2026-09-06T23:46:39.776749
3;Alacant/Alicante;10;Comunitat Valenciana;Alacant/Alicante;Alicante;16463505.0;4346856.0;M08;M08;3;AlicanteAlacant;M08;M11;M08;M11;159.22;8.13;136.07;11.54;106.2075;3;Alicante/Alacant;1881762.0;5100916.0;425076.3333333333;112189.6275478858;2.710712619342935;0.2639281906572524;12;2026-09-06T23:46:39.776749
4;Almería;1;Andalucía;Almería;Almería;4563569.0;1364689.0;M08;M08;4;Almería;M08;M09;M08;M09;163.14;16.26;137.15;19.8;89.28750000000001;4;Almería;731792.0;1585364.0;132113.66666666666;81085.94539951626;2.166413407088353;0.6137589504960345;12;2026-09-06T23:46:39.776749
5;Ávila;7;Castilla y León;Ávila;Avila;561006.0;353460.0;M08;M08;5;Ávila;M04;M06;M08;M03;75.19;6.75;36.13;30.83;69.87416666666667;5;Ávila;158421.0;394330.0;32860.833333333336;6580.058135047597;2.489127072799692;0.200240148151475;12;2026-09-06T23:46:39.776749
6;Badajoz;11;Extremadura;Badajoz;Badajoz;1132448.0;672116.0;M08;M08;6;Badajoz;M08;M02;M04;M02;69.04;14.81;37.18;18.6;65.20333333333333;6;Badajoz;669943.0;751455.0;62621.25;13093.760006722148;1.1216700525268568;0.2090945167450689;12;2026-09-06T23:46:39.776749
7;Illes Balears;4;Illes Balears;Palma;Balears, Illes;57463321.0;10843552.0;M08;M08;7;Balears Illes;M07;M08;M08;M05;213.68;9.51;194.11;12.29;136.43583333333333;7;Balears, Illes;1173008.0;12710290.0;1059190.8333333333;855499.7399582871;10.835637949613302;0.8076917898411009;12;2026-09-06T23:46:39.776749
8;Barcelona;9;Cataluña/Catalunya;Barcelona;Barcelona;29849385.0;11908333.0;M08;M08;8;Barcelona;M05;M04;M05;M04;174.11;9.29;140.75;13.8;150.62666666666667;8;Barcelona;5714730.0;14282218.0;1190184.8333333333;218140.8128137892;2.4991938376791203;0.183283139479139;12;2026-09-06T23:46:39.776749
9;Burgos;7;Castilla y León;Burgos;Burgos;1327235.0;893541.0;M08;M08;9;Burgos;M08;M10;M08;M10;82.72;13.3;60.4;18.01;73.12833333333334;9;Burgos;356055.0;971504.0;80958.66666666667;25448.53988786473;2.728522278861412;0.3143399086924776;12;2026-09-06T23:46:39.776749
10;Cáceres;11;Extremadura;Cáceres;Cáceres;1037721.0;567236.0;M08;M08;10;Cáceres;M04;M07;M04;M04;85.09;15.44;48.71;20.14;76.46666666666667;10;Cáceres;389558.0;662563.0;55213.583333333336;11911.261618991526;1.700807068523814;0.2157306390907707;12;2026-09-06T23:46:39.776749
