Provincia;Periodo ADR Dato;Periodo ADR Tasa Var;Periodo RevPar Dato;Periodo RevPar Tasa Var;Valor ADR Dato;Valor ADR Tasa Var;Valor RevPar Dato;Valor RevPar Tasa Var;TipoDato;Metrica;Valor
Albacete;M09;M11;M09;M09;75.62;20.13;50.1;54.79;Dato;ADR;66.4875
AlicanteAlacant;M08;M11;M08;M11;159.22;8.13;136.07;11.54;Dato;ADR;106.2075
Almería;M08;M09;M08;M09;163.14;16.26;137.15;19.8;Dato;ADR;89.28750000000001
ArabaÁlava;M07;M06;M07;M10;117.12;13.91;89.31;27.88;Dato;ADR;92.07083333333333
Asturias;M08;M09;M08;M12;120.92;9.98;95.97;18.42;Dato;ADR;78.52749999999999
Badajoz;M08;M02;M04;M02;69.04;14.81;37.18;18.6;Dato;ADR;65.20333333333333
Balears Illes;M07;M08;M08;M05;213.68;9.51;194.11;12.29;Dato;ADR;136.43583333333333
Barcelona;M05;M04;M05;M04;174.11;9.29;140.75;13.8;Dato;ADR;150.62666666666667
Bizkaia;M05;M09;M08;M04;140.75;8.22;116.54;12.09;Dato;ADR;108.83749999999999
Burgos;M08;M10;M08;M10;82.72;13.3;60.4;18.01;Dato;ADR;73.12833333333334
Cantabria;M08;M06;M08;M12;137.54;11.39;109.29;14.75;Dato;ADR;88.915
CastellónCastelló;M07;M03;M08;M11;158.37;25.92;118.75;28.75;Dato;ADR;88.20583333333333
Ceuta;M07;M03;M08;M01;89.21;16.04;53.77;99.58;Dato;ADR;79.8575
Ciudad Real;M07;M03;M04;M10;66.15;10.87;29.71;21.51;Dato;ADR;60.67916666666667
Coruña A;M08;M02;M08;M12;94.71;10.12;68.24;26.03;Dato;ADR;76.73083333333334
Cuenca;M04;M07;M04;M07;79.3;11.25;32.51;17.41;Dato;ADR;71.99249999999999
Cáceres;M04;M07;M04;M04;85.09;15.44;48.71;20.14;Dato;ADR;76.46666666666667
Cádiz;M08;M10;M08;M12;187.34;6.81;160.02;16.33;Dato;ADR;108.45583333333333
Córdoba;M05;M01;M05;M12;120.55;10.25;79.52;18.07;Dato;ADR;84.03333333333333
Gipuzkoa;M07;M07;M07;M07;230.82;19.05;193.68;20.76;Dato;ADR;140.51166666666666
Girona;M08;M07;M08;M07;149.58;13.66;126.87;14.44;Dato;ADR;98.1075
Granada;M01;M01;M10;M01;110.9;18.58;69.88;19.93;Dato;ADR;97.83666666666666
Guadalajara;M09;M08;M09;M03;87.6;25.99;38.75;43.8;Dato;ADR;80.31916666666667
Huelva;M07;M07;M07;M10;179.46;21.9;132.45;22.17;Dato;ADR;101.1875
Huesca;M12;M12;M08;M12;111.0;24.09;65.66;37.21;Dato;ADR;89.35416666666667
Jaén;M05;M09;M05;M08;75.98;11.23;34.09;13.89;Dato;ADR;70.08166666666666
León;M08;M10;M08;M10;71.79;5.91;47.12;20.82;Dato;ADR;64.29333333333334
Lleida;M02;M02;M02;M10;131.73;6.01;72.0;18.59;Dato;ADR;90.02083333333333
Lugo;M08;M07;M08;M03;79.91;15.84;55.05;26.48;Dato;ADR;62.879999999999995
Madrid;M10;M08;M10;M08;173.05;12.58;144.16;17.26;Dato;ADR;148.82916666666668
Melilla;M04;M04;M09;M04;92.88;11.48;69.68;49.12;Dato;ADR;83.765
Murcia;M08;M01;M08;M10;98.83;8.41;71.24;8.31;Dato;ADR;76.59333333333333
Málaga;M08;M05;M08;M05;207.8;13.18;181.09;14.11;Dato;ADR;139.35
Navarra;M07;M05;M07;M10;107.69;9.35;72.13;10.62;Dato;ADR;78.355
Ourense;M07;M02;M08;M01;73.72;14.1;33.93;33.3;Dato;ADR;65.8325
Palencia;M07;M12;M08;M03;67.89;15.03;44.24;22.08;Dato;ADR;62.88583333333333
Palmas Las;M12;M08;M02;M08;159.57;8.64;133.82;11.89;Dato;ADR;142.72
Pontevedra;M08;M02;M08;M10;108.07;12.08;78.51;23.44;Dato;ADR;78.84083333333334
Rioja La;M10;M12;M09;M12;89.72;8.44;61.25;26.28;Dato;ADR;83.22666666666667
Salamanca;M05;M10;M08;M10;77.47;11.86;45.04;11.01;Dato;ADR;70.89666666666666
Santa Cruz de Tenerife;M03;M03;M02;M03;169.4;10.97;146.16;11.31;Dato;ADR;150.29083333333332
Segovia;M08;M04;M08;M10;89.17;9.65;52.59;10.81;Dato;ADR;79.42333333333333
Sevilla;M04;M03;M04;M03;177.98;12.6;142.67;23.54;Dato;ADR;121.87333333333333
Soria;M08;M12;M08;M12;80.18;25.47;40.4;34.57;Dato;ADR;74.205
Tarragona;M08;M03;M08;M02;151.75;12.39;135.27;31.38;Dato;ADR;94.52833333333332
Teruel;M07;M07;M08;M03;88.41;14.49;46.2;19.91;Dato;ADR;75.55666666666666
Toledo;M05;M12;M05;M03;101.4;13.79;60.95;29.14;Dato;ADR;83.94
ValenciaValència;M07;M12;M07;M12;124.54;15.59;101.31;25.64;Dato;ADR;102.94083333333333
Valladolid;M09;M10;M09;M10;90.76;15.5;60.62;28.28;Dato;ADR;82.40583333333333
Zamora;M07;M03;M08;M03;78.7;12.19;41.71;46.64;Dato;ADR;71.42
Zaragoza;M04;M09;M10;M09;86.0;15.56;60.11;27.03;Dato;ADR;77.81166666666667
Ávila;M04;M06;M08;M03;75.19;6.75;36.13;30.83;Dato;ADR;69.87416666666667
