COD_INE;LOCALIDAD;VALOR PERNOCTACIONES EXTRANJERO;VALOR PERNOCTACIONES NACIONAL;VALOR VIAJERO EXTRANJERO;VALOR VIAJERO NACIONAL;PERIODO PERNOCTACIONES EXTRANJERO;PERIODO PERNOCTACIONES NACIONAL;PERIODO VIAJERO EXTRANJERO;PERIODO VIAJERO NACIONAL
03018;Altea;365608.0;291281.0;109312.0;136312.0;M09;M08;M05;M08
04032;Carboneras;9895.0;109766.0;4273.0;46406.0;M09;M08;M09;M07
04902;Ejido, El;25776.0;52671.0;7614.0;18840.0;M08;M08;M08;M08
07003;Alcúdia;7562818.0;365652.0;1177676.0;88693.0;M08;M09;M08;M09
07015;Ciutadella de Menorca;3700172.0;709456.0;567668.0;165448.0;M08;M08;M08;M08
07024;Formentera;1046896.0;345453.0;190857.0;108631.0;M08;M07;M08;M06
07026;Eivissa;2653697.0;560641.0;809515.0;242527.0;M08;M07;M07;M06
07039;Muro;5540910.0;302529.0;831976.0;62726.0;M07;M08;M07;M08
07042;Pollença;1844647.0;139756.0;332916.0;32107.0;M07;M08;M07;M08
07046;Sant Antoni de Portmany;2858477.0;390926.0;689767.0;114383.0;M08;M10;M08;M09
07048;Sant Josep de sa Talaia;4190832.0;435807.0;944325.0;128840.0;M08;M05;M07;M05
07057;Santanyí;4727833.0;281897.0;813863.0;72775.0;M08;M10;M07;M10
07061;Sóller;1005730.0;39952.0;265620.0;16868.0;M08;M06;M09;M06
08056;Castelldefels;738698.0;388337.0;288229.0;185018.0;M08;M04;M05;M04
08101;Hospitalet de Llobregat, L';1589629.0;415664.0;674530.0;243004.0;M08;M03;M06;M03
08270;Sitges;1175138.0;397453.0;374145.0;206871.0;M08;M08;M09;M07
11015;Chiclana de la Frontera;2001291.0;2100387.0;288708.0;570101.0;M10;M08;M05;M07
18134;Monachil;167755.0;342518.0;70668.0;158350.0;M02;M03;M02;M03
19130;Guadalajara;89318.0;378593.0;45544.0;235799.0;M10;M10;M10;M10
21041;Huelva;19801.0;73150.0;10301.0;39107.0;M08;M08;M09;M08
22125;Huesca;97508.0;226576.0;36613.0;120876.0;M05;M08;M08;M08
23009;Baeza;3463.0;12757.0;2634.0;7588.0;M09;M11;M09;M09
23050;Jaén;14895.0;73460.0;9040.0;44894.0;M10;M10;M10;M10
23092;Úbeda;40879.0;253261.0;23982.0;137111.0;M10;M05;M10;M04
25043;Vall de Boí, La;12562.0;217634.0;5576.0;75235.0;M08;M08;M07;M08
28005;Alcalá de Henares;355617.0;593104.0;164325.0;360486.0;M06;M12;M05;M05
29015;Antequera;140353.0;186269.0;69693.0;113526.0;M10;M08;M10;M08
36038;Pontevedra;209461.0;259399.0;162043.0;143624.0;M05;M08;M05;M08
18017;Almuñécar;714392.0;860498.0;111035.0;280368.0;M10;M08;M09;M08
35003;Antigua;4253440.0;335176.0;586949.0;96519.0;M08;M08;M03;M08
35014;Oliva, La;5361772.0;483732.0;720158.0;109872.0;M10;M08;M10;M08
35024;Teguise;4480139.0;681309.0;605654.0;134795.0;M08;M08;M03;M08
