cod_prov,provincia,comunidad_autonoma,temporada_alta,presion_turistica_hab,estacionalidad_cv,ocupacion_hotel_media,ocupacion_hotel_pico,ocupacion_hotel_finsemana,poblacion,viajeros_hotel_anual,estancia_media_hotel,plazas_hotel_media,puntos_turisticos_ine,adr_medio,revpar_max,plazas_rural_media,ocupacion_rural_media,viajeros_rural_anual,estancia_media_rural,hoteles_osm,restaurantes_osm,atracciones_osm,museos_osm,total_poi_osm,cluster_saturacion_id,cluster_saturacion,activos_culturales,capacidad_rural_libre,margen_hotel_valle,cluster_potencial_id,cluster_potencial,indice_saturacion,indice_potencial,politica_recomendada
01,Araba/Álava,País Vasco/Euskadi,M08,1.484581537410154,0.2063756287072902,55.09,73.98,63.79,333626.0,456184.0,2.16,5332.0,1,92.07083333333333,89.31,998.0,23.73,22528.0,2.39,31,245,11,15,302,2,Grandes Metrópolis,26,761.1745999999999,2394.6011999999996,0,Alto Potencial Cultural y Desestacionalizable,-0.12720160850934029,-0.25832031079651735,Alerta de Saturación: Contención y Desvío de Demanda
02,Albacete,Castilla-La Mancha,M09,1.0598166970274074,0.1890403156921354,35.78,57.0,44.47,386464.0,370581.0,2.15,6276.0,1,66.4875,50.1,4993.0,16.63,93888.0,2.57,11,133,2,6,152,0,Desaprovechado,8,4162.6641,4030.4472,0,Alto Potencial Cultural y Desestacionalizable,-0.6644989840910479,-0.055328018382572605,Turismo Pausado / Ecoturismo de Nicho
03,Alacant/Alicante,Comunitat Valenciana,M08,2.710712619342935,0.2639281906572524,62.1,80.19,68.39,1881762.0,4346856.0,3.79,78530.0,3,106.2075,136.07,1665.0,18.27,24449.0,2.3,55,526,14,12,607,2,Grandes Metrópolis,26,1360.8045,29762.87,0,Alto Potencial Cultural y Desestacionalizable,0.393111311875161,0.38305543879603154,Desestacionalización y Gestión de Flujos
04,Almería,Andalucía,M08,2.166413407088353,0.6137589504960345,44.5,70.89,50.75,731792.0,1364689.0,3.34,28399.0,4,89.28750000000001,137.15,1307.0,16.38,16255.0,2.34,5,16,1,0,22,2,Grandes Metrópolis,1,1092.9134000000001,15761.444999999998,2,Potencial Ecoturístico y Rural de Interior,0.7950385701578577,-0.8218670600666312,Alerta de Saturación: Contención y Desvío de Demanda
05,Ávila,Castilla y León,M08,2.489127072799692,0.200240148151475,35.48,47.94,50.4,158421.0,353460.0,1.59,4808.0,1,69.87416666666667,36.13,5640.0,15.52,101890.0,2.33,21,63,14,8,106,0,Desaprovechado,22,4764.672,3102.1216,0,Alto Potencial Cultural y Desestacionalizable,-0.5745089060284378,0.0940107308355425,Objetivo Prioritario: Inversión y Diversificación
06,Badajoz,Extremadura,M08,1.1216700525268568,0.2090945167450689,39.42,50.81,46.67,669943.0,672116.0,1.68,8905.0,1,65.20333333333333,37.18,2797.0,15.31,48886.0,1.99,12,93,5,5,115,0,Desaprovechado,10,2368.7793,5394.649,0,Alto Potencial Cultural y Desestacionalizable,-0.761022296010212,-0.28270530965152607,Turismo Pausado / Ecoturismo de Nicho
07,Illes Balears,Illes Balears,M08,10.835637949613302,0.8076917898411009,64.99,89.65,67.13,1173008.0,10843552.0,5.3,214758.0,12,136.4358333333333,194.11,8146.0,49.89,68101.0,2.46,139,615,23,13,790,3,Destinos Maduros,36,4081.9606,75186.77580000002,1,Megadestinos con Gran Capacidad Ociosa en Valle,3.409165875726192,1.5996712027237454,Desestacionalización y Gestión de Flujos
08,Barcelona,Cataluña/Catalunya,M08,2.4991938376791203,0.183283139479139,63.51,78.65,67.88,5714730.0,11908333.0,2.51,145061.0,4,150.6266666666667,140.75,4756.0,24.1,106956.0,2.39,509,4041,109,90,4749,1,Hipersaturado,199,3609.804,52932.7589,1,Megadestinos con Gran Capacidad Ociosa en Valle,0.1425247923924865,1.7194345711381702,Desestacionalización y Gestión de Flujos
09,Burgos,Castilla y León,M08,2.728522278861412,0.3143399086924776,46.32,63.7,55.49,356055.0,893541.0,1.49,8423.0,1,73.12833333333334,60.4,4055.0,19.93,86152.0,2.33,53,292,5,13,363,0,Desaprovechado,18,3246.8385,4521.466399999999,0,Alto Potencial Cultural y Desestacionalizable,0.1000168225311548,0.07035141923830807,Desestacionalización y Gestión de Flujos
10,Cáceres,Extremadura,M08,1.700807068523814,0.2157306390907707,37.26,48.44,48.06,389558.0,567236.0,1.83,8886.0,1,76.46666666666667,48.71,7506.0,17.41,137251.0,2.25,28,104,6,15,153,0,Desaprovechado,21,6199.2054,5575.0764,0,Alto Potencial Cultural y Desestacionalizable,-0.6883203060821456,0.3851105713412137,Objetivo Prioritario: Inversión y Diversificación
