COD_PROV,PROVINCIA,Anyo,Periodo,establecimientos_abiertos,grado_ocupacion_finsemana,grado_ocupacion_habitaciones,grado_ocupacion_plazas,plazas_estimadas,_meta.fecha_extraccion
01,Araba/Álava,2024,M08,70.0,74.09,80.43,73.98,4946.0,2026-09-14T13:39:16.852415
01,Araba/Álava,2024,M09,74.0,72.52,74.6,62.08,5260.0,2026-09-14T13:39:16.852415
01,Araba/Álava,2024,M10,74.0,63.26,67.32,54.8,5260.0,2026-09-14T13:39:16.852415
01,Araba/Álava,2024,M11,75.0,60.02,63.12,49.68,5335.0,2026-09-14T13:39:16.852415
01,Araba/Álava,2024,M12,74.0,59.92,57.18,48.03,5285.0,2026-09-14T13:39:16.852415
01,Araba/Álava,2025,M01,64.0,46.3,52.09,41.83,4929.0,2026-09-14T13:39:16.852415
01,Araba/Álava,2025,M02,70.0,54.07,54.72,43.11,5117.0,2026-09-14T13:39:16.852415
01,Araba/Álava,2025,M03,73.0,60.42,62.91,49.67,5260.0,2026-09-14T13:39:16.852415
01,Araba/Álava,2025,M04,75.0,70.21,67.91,56.6,5366.0,2026-09-14T13:39:16.852415
01,Araba/Álava,2025,M05,75.0,70.83,76.2,60.2,5366.0,2026-09-14T13:39:16.852415
01,Araba/Álava,2025,M06,73.0,72.74,77.33,61.45,5353.0,2026-09-14T13:39:16.852415
01,Araba/Álava,2025,M07,75.0,75.39,80.91,68.31,5367.0,2026-09-14T13:39:16.852415
01,Araba/Álava,2025,M08,73.0,72.35,84.42,73.06,5344.0,2026-09-14T13:39:16.852415
01,Araba/Álava,2025,M09,76.0,70.35,81.11,63.35,5557.0,2026-09-14T13:39:16.852415
01,Araba/Álava,2025,M10,75.0,67.84,76.82,59.75,5531.0,2026-09-14T13:39:16.852415
01,Araba/Álava,2025,M11,74.0,58.61,65.72,49.66,5516.0,2026-09-14T13:39:16.852415
01,Araba/Álava,2025,M12,68.0,58.41,58.36,47.37,5295.0,2026-09-14T13:39:16.852415
01,Araba/Álava,2026,M01,63.0,46.44,52.67,41.27,5092.0,2026-09-14T13:39:16.852415
01,Araba/Álava,2026,M02,70.0,54.12,58.15,45.07,5300.0,2026-09-14T13:39:16.852415
01,Araba/Álava,2026,M03,75.0,55.29,61.69,48.14,5430.0,2026-09-14T13:39:16.852415
01,Araba/Álava,2026,M04,76.0,67.45,66.5,54.23,5571.0,2026-09-14T13:39:16.852415
01,Araba/Álava,2026,M05,76.0,66.32,69.37,54.49,5553.0,2026-09-14T13:39:16.852415
01,Araba/Álava,2026,M06,72.0,66.08,72.06,54.82,5446.0,2026-09-14T13:39:16.852415
01,Araba/Álava,2026,M07,75.0,67.9,76.32,61.09,5493.0,2026-09-14T13:39:16.852415
02,Albacete,2024,M08,139.0,45.82,44.68,39.56,6515.0,2026-09-14T13:39:16.852415
02,Albacete,2024,M09,120.0,52.29,50.31,40.87,6162.0,2026-09-14T13:39:16.852415
02,Albacete,2024,M10,126.0,66.68,62.36,52.71,6407.0,2026-09-14T13:39:16.852415
02,Albacete,2024,M11,139.0,38.9,43.08,33.52,6636.0,2026-09-14T13:39:16.852415
02,Albacete,2024,M12,127.0,30.15,29.77,24.11,5950.0,2026-09-14T13:39:16.852415
02,Albacete,2025,M01,103.0,25.71,28.9,21.48,4999.0,2026-09-14T13:39:16.852415
02,Albacete,2025,M02,112.0,43.74,37.17,28.68,5360.0,2026-09-14T13:39:16.852415
02,Albacete,2025,M03,114.0,39.34,37.19,29.27,5822.0,2026-09-14T13:39:16.852415
02,Albacete,2025,M04,123.0,49.61,45.67,37.89,6221.0,2026-09-14T13:39:16.852415
02,Albacete,2025,M05,139.0,46.6,48.88,39.67,6914.0,2026-09-14T13:39:16.852415
02,Albacete,2025,M06,139.0,68.63,62.1,52.23,6967.0,2026-09-14T13:39:16.852415
02,Albacete,2025,M07,136.0,43.67,42.76,35.26,6786.0,2026-09-14T13:39:16.852415
02,Albacete,2025,M08,134.0,44.89,46.55,39.79,6767.0,2026-09-14T13:39:16.852415
02,Albacete,2025,M09,134.0,68.5,66.14,57.0,6658.0,2026-09-14T13:39:16.852415
02,Albacete,2025,M10,139.0,49.08,50.61,40.35,6702.0,2026-09-14T13:39:16.852415
02,Albacete,2025,M11,133.0,43.58,44.49,34.94,6495.0,2026-09-14T13:39:16.852415
02,Albacete,2025,M12,124.0,32.8,33.88,25.98,5922.0,2026-09-14T13:39:16.852415
02,Albacete,2026,M01,114.0,23.71,31.86,23.13,5265.0,2026-09-14T13:39:16.852415
02,Albacete,2026,M02,124.0,35.28,37.79,27.33,5617.0,2026-09-14T13:39:16.852415
02,Albacete,2026,M03,122.0,34.69,38.13,28.11,6264.0,2026-09-14T13:39:16.852415
