COD,Nombre,T3_Unidad,T3_Escala,Fecha,T3_Periodo,T3_TipoDato,Anyo,Valor,MetaData_json,tabla_id,_meta.fecha_extraccion
EOT2611,Nacional. Viajeros. Vitoria-Gastéiz. Residentes en España.,Viajeros, ,2026-07-01T00:00:00.000+02:00,M07,Provisional,2026,18734.0,"[{""Id"": 284332, ""T3_Variable"": ""Concepto turístico"", ""Nombre"": ""Viajero"", ""Codigo"": ""B""}, {""Id"": 9834, ""T3_Variable"": ""TIPO DE CATEGORIA"", ""Nombre"": ""Total categorías"", ""Codigo"": """"}, {""Id"": 571, ""T3_Variable"": ""PUNTOS TURISTÍCOS"", ""Nombre"": ""Vitoria-Gasteiz"", ""Codigo"": ""01059""}, {""Id"": 19964, ""T3_Variable"": ""RESIDENCIA/ORIGEN"", ""Nombre"": ""Residentes en España"", ""Codigo"": """"}, {""Id"": 72, ""T3_Variable"": ""Tipo de dato"", ""Nombre"": ""Dato"", ""Codigo"": ""0""}]",2078,2026-09-14T13:35:04.631537
EOT2611,Nacional. Viajeros. Vitoria-Gastéiz. Residentes en España.,Viajeros, ,2026-06-01T00:00:00.000+02:00,M06,Provisional,2026,19464.0,"[{""Id"": 284332, ""T3_Variable"": ""Concepto turístico"", ""Nombre"": ""Viajero"", ""Codigo"": ""B""}, {""Id"": 9834, ""T3_Variable"": ""TIPO DE CATEGORIA"", ""Nombre"": ""Total categorías"", ""Codigo"": """"}, {""Id"": 571, ""T3_Variable"": ""PUNTOS TURISTÍCOS"", ""Nombre"": ""Vitoria-Gasteiz"", ""Codigo"": ""01059""}, {""Id"": 19964, ""T3_Variable"": ""RESIDENCIA/ORIGEN"", ""Nombre"": ""Residentes en España"", ""Codigo"": """"}, {""Id"": 72, ""T3_Variable"": ""Tipo de dato"", ""Nombre"": ""Dato"", ""Codigo"": ""0""}]",2078,2026-09-14T13:35:04.631537
EOT2611,Nacional. Viajeros. Vitoria-Gastéiz. Residentes en España.,Viajeros, ,2026-05-01T00:00:00.000+02:00,M05,Provisional,2026,20574.0,"[{""Id"": 284332, ""T3_Variable"": ""Concepto turístico"", ""Nombre"": ""Viajero"", ""Codigo"": ""B""}, {""Id"": 9834, ""T3_Variable"": ""TIPO DE CATEGORIA"", ""Nombre"": ""Total categorías"", ""Codigo"": """"}, {""Id"": 571, ""T3_Variable"": ""PUNTOS TURISTÍCOS"", ""Nombre"": ""Vitoria-Gasteiz"", ""Codigo"": ""01059""}, {""Id"": 19964, ""T3_Variable"": ""RESIDENCIA/ORIGEN"", ""Nombre"": ""Residentes en España"", ""Codigo"": """"}, {""Id"": 72, ""T3_Variable"": ""Tipo de dato"", ""Nombre"": ""Dato"", ""Codigo"": ""0""}]",2078,2026-09-14T13:35:04.631537
EOT2611,Nacional. Viajeros. Vitoria-Gastéiz. Residentes en España.,Viajeros, ,2026-04-01T00:00:00.000+02:00,M04,Provisional,2026,21012.0,"[{""Id"": 284332, ""T3_Variable"": ""Concepto turístico"", ""Nombre"": ""Viajero"", ""Codigo"": ""B""}, {""Id"": 9834, ""T3_Variable"": ""TIPO DE CATEGORIA"", ""Nombre"": ""Total categorías"", ""Codigo"": """"}, {""Id"": 571, ""T3_Variable"": ""PUNTOS TURISTÍCOS"", ""Nombre"": ""Vitoria-Gasteiz"", ""Codigo"": ""01059""}, {""Id"": 19964, ""T3_Variable"": ""RESIDENCIA/ORIGEN"", ""Nombre"": ""Residentes en España"", ""Codigo"": """"}, {""Id"": 72, ""T3_Variable"": ""Tipo de dato"", ""Nombre"": ""Dato"", ""Codigo"": ""0""}]",2078,2026-09-14T13:35:04.631537
EOT2611,Nacional. Viajeros. Vitoria-Gastéiz. Residentes en España.,Viajeros, ,2026-03-01T00:00:00.000+01:00,M03,Provisional,2026,20189.0,"[{""Id"": 284332, ""T3_Variable"": ""Concepto turístico"", ""Nombre"": ""Viajero"", ""Codigo"": ""B""}, {""Id"": 9834, ""T3_Variable"": ""TIPO DE CATEGORIA"", ""Nombre"": ""Total categorías"", ""Codigo"": """"}, {""Id"": 571, ""T3_Variable"": ""PUNTOS TURISTÍCOS"", ""Nombre"": ""Vitoria-Gasteiz"", ""Codigo"": ""01059""}, {""Id"": 19964, ""T3_Variable"": ""RESIDENCIA/ORIGEN"", ""Nombre"": ""Residentes en España"", ""Codigo"": """"}, {""Id"": 72, ""T3_Variable"": ""Tipo de dato"", ""Nombre"": ""Dato"", ""Codigo"": ""0""}]",2078,2026-09-14T13:35:04.631537
EOT2611,Nacional. Viajeros. Vitoria-Gastéiz. Residentes en España.,Viajeros, ,2026-02-01T00:00:00.000+01:00,M02,Provisional,2026,18573.0,"[{""Id"": 284332, ""T3_Variable"": ""Concepto turístico"", ""Nombre"": ""Viajero"", ""Codigo"": ""B""}, {""Id"": 9834, ""T3_Variable"": ""TIPO DE CATEGORIA"", ""Nombre"": ""Total categorías"", ""Codigo"": """"}, {""Id"": 571, ""T3_Variable"": ""PUNTOS TURISTÍCOS"", ""Nombre"": ""Vitoria-Gasteiz"", ""Codigo"": ""01059""}, {""Id"": 19964, ""T3_Variable"": ""RESIDENCIA/ORIGEN"", ""Nombre"": ""Residentes en España"", ""Codigo"": """"}, {""Id"": 72, ""T3_Variable"": ""Tipo de dato"", ""Nombre"": ""Dato"", ""Codigo"": ""0""}]",2078,2026-09-14T13:35:04.631537
EOT2611,Nacional. Viajeros. Vitoria-Gastéiz. Residentes en España.,Viajeros, ,2026-01-01T00:00:00.000+01:00,M01,Provisional,2026,18376.0,"[{""Id"": 284332, ""T3_Variable"": ""Concepto turístico"", ""Nombre"": ""Viajero"", ""Codigo"": ""B""}, {""Id"": 9834, ""T3_Variable"": ""TIPO DE CATEGORIA"", ""Nombre"": ""Total categorías"", ""Codigo"": """"}, {""Id"": 571, ""T3_Variable"": ""PUNTOS TURISTÍCOS"", ""Nombre"": ""Vitoria-Gasteiz"", ""Codigo"": ""01059""}, {""Id"": 19964, ""T3_Variable"": ""RESIDENCIA/ORIGEN"", ""Nombre"": ""Residentes en España"", ""Codigo"": """"}, {""Id"": 72, ""T3_Variable"": ""Tipo de dato"", ""Nombre"": ""Dato"", ""Codigo"": ""0""}]",2078,2026-09-14T13:35:04.631537
EOT2611,Nacional. Viajeros. Vitoria-Gastéiz. Residentes en España.,Viajeros, ,2025-12-01T00:00:00.000+01:00,M12,Definitivo,2025,23737.0,"[{""Id"": 284332, ""T3_Variable"": ""Concepto turístico"", ""Nombre"": ""Viajero"", ""Codigo"": ""B""}, {""Id"": 9834, ""T3_Variable"": ""TIPO DE CATEGORIA"", ""Nombre"": ""Total categorías"", ""Codigo"": """"}, {""Id"": 571, ""T3_Variable"": ""PUNTOS TURISTÍCOS"", ""Nombre"": ""Vitoria-Gasteiz"", ""Codigo"": ""01059""}, {""Id"": 19964, ""T3_Variable"": ""RESIDENCIA/ORIGEN"", ""Nombre"": ""Residentes en España"", ""Codigo"": """"}, {""Id"": 72, ""T3_Variable"": ""Tipo de dato"", ""Nombre"": ""Dato"", ""Codigo"": ""0""}]",2078,2026-09-14T13:35:04.631537
EOT2611,Nacional. Viajeros. Vitoria-Gastéiz. Residentes en España.,Viajeros, ,2025-11-01T00:00:00.000+01:00,M11,Definitivo,2025,21523.0,"[{""Id"": 284332, ""T3_Variable"": ""Concepto turístico"", ""Nombre"": ""Viajero"", ""Codigo"": ""B""}, {""Id"": 9834, ""T3_Variable"": ""TIPO DE CATEGORIA"", ""Nombre"": ""Total categorías"", ""Codigo"": """"}, {""Id"": 571, ""T3_Variable"": ""PUNTOS TURISTÍCOS"", ""Nombre"": ""Vitoria-Gasteiz"", ""Codigo"": ""01059""}, {""Id"": 19964, ""T3_Variable"": ""RESIDENCIA/ORIGEN"", ""Nombre"": ""Residentes en España"", ""Codigo"": """"}, {""Id"": 72, ""T3_Variable"": ""Tipo de dato"", ""Nombre"": ""Dato"", ""Codigo"": ""0""}]",2078,2026-09-14T13:35:04.631537
EOT2611,Nacional. Viajeros. Vitoria-Gastéiz. Residentes en España.,Viajeros, ,2025-10-01T00:00:00.000+02:00,M10,Definitivo,2025,24269.0,"[{""Id"": 284332, ""T3_Variable"": ""Concepto turístico"", ""Nombre"": ""Viajero"", ""Codigo"": ""B""}, {""Id"": 9834, ""T3_Variable"": ""TIPO DE CATEGORIA"", ""Nombre"": ""Total categorías"", ""Codigo"": """"}, {""Id"": 571, ""T3_Variable"": ""PUNTOS TURISTÍCOS"", ""Nombre"": ""Vitoria-Gasteiz"", ""Codigo"": ""01059""}, {""Id"": 19964, ""T3_Variable"": ""RESIDENCIA/ORIGEN"", ""Nombre"": ""Residentes en España"", ""Codigo"": """"}, {""Id"": 72, ""T3_Variable"": ""Tipo de dato"", ""Nombre"": ""Dato"", ""Codigo"": ""0""}]",2078,2026-09-14T13:35:04.631537
