COD,Nombre,T3_Unidad,T3_Escala,Fecha,T3_Periodo,T3_TipoDato,Anyo,Valor,MetaData_json,tabla_id,_meta.fecha_extraccion
EOT1,Nacional. Viajeros. Total categorías. Total.,Viajeros, ,2026-07-01T00:00:00.000+02:00,M07,Provisional,2026,13208858.0,"[{""Id"": 16473, ""T3_Variable"": ""Totales Territoriales"", ""Nombre"": ""Total Nacional"", ""Codigo"": ""00""}, {""Id"": 284332, ""T3_Variable"": ""Concepto turístico"", ""Nombre"": ""Viajero"", ""Codigo"": ""B""}, {""Id"": 9834, ""T3_Variable"": ""TIPO DE CATEGORIA"", ""Nombre"": ""Total categorías"", ""Codigo"": """"}, {""Id"": 9975, ""T3_Variable"": ""RESIDENCIA/ORIGEN"", ""Nombre"": ""Total"", ""Codigo"": """"}, {""Id"": 72, ""T3_Variable"": ""Tipo de dato"", ""Nombre"": ""Dato"", ""Codigo"": ""0""}]",2074,2026-09-14T13:35:00.383022
EOT1,Nacional. Viajeros. Total categorías. Total.,Viajeros, ,2026-06-01T00:00:00.000+02:00,M06,Provisional,2026,12187821.0,"[{""Id"": 16473, ""T3_Variable"": ""Totales Territoriales"", ""Nombre"": ""Total Nacional"", ""Codigo"": ""00""}, {""Id"": 284332, ""T3_Variable"": ""Concepto turístico"", ""Nombre"": ""Viajero"", ""Codigo"": ""B""}, {""Id"": 9834, ""T3_Variable"": ""TIPO DE CATEGORIA"", ""Nombre"": ""Total categorías"", ""Codigo"": """"}, {""Id"": 9975, ""T3_Variable"": ""RESIDENCIA/ORIGEN"", ""Nombre"": ""Total"", ""Codigo"": """"}, {""Id"": 72, ""T3_Variable"": ""Tipo de dato"", ""Nombre"": ""Dato"", ""Codigo"": ""0""}]",2074,2026-09-14T13:35:00.383022
EOT1,Nacional. Viajeros. Total categorías. Total.,Viajeros, ,2026-05-01T00:00:00.000+02:00,M05,Provisional,2026,12074455.0,"[{""Id"": 16473, ""T3_Variable"": ""Totales Territoriales"", ""Nombre"": ""Total Nacional"", ""Codigo"": ""00""}, {""Id"": 284332, ""T3_Variable"": ""Concepto turístico"", ""Nombre"": ""Viajero"", ""Codigo"": ""B""}, {""Id"": 9834, ""T3_Variable"": ""TIPO DE CATEGORIA"", ""Nombre"": ""Total categorías"", ""Codigo"": """"}, {""Id"": 9975, ""T3_Variable"": ""RESIDENCIA/ORIGEN"", ""Nombre"": ""Total"", ""Codigo"": """"}, {""Id"": 72, ""T3_Variable"": ""Tipo de dato"", ""Nombre"": ""Dato"", ""Codigo"": ""0""}]",2074,2026-09-14T13:35:00.383022
EOT1,Nacional. Viajeros. Total categorías. Total.,Viajeros, ,2026-04-01T00:00:00.000+02:00,M04,Provisional,2026,10211051.0,"[{""Id"": 16473, ""T3_Variable"": ""Totales Territoriales"", ""Nombre"": ""Total Nacional"", ""Codigo"": ""00""}, {""Id"": 284332, ""T3_Variable"": ""Concepto turístico"", ""Nombre"": ""Viajero"", ""Codigo"": ""B""}, {""Id"": 9834, ""T3_Variable"": ""TIPO DE CATEGORIA"", ""Nombre"": ""Total categorías"", ""Codigo"": """"}, {""Id"": 9975, ""T3_Variable"": ""RESIDENCIA/ORIGEN"", ""Nombre"": ""Total"", ""Codigo"": """"}, {""Id"": 72, ""T3_Variable"": ""Tipo de dato"", ""Nombre"": ""Dato"", ""Codigo"": ""0""}]",2074,2026-09-14T13:35:00.383022
EOT1,Nacional. Viajeros. Total categorías. Total.,Viajeros, ,2026-03-01T00:00:00.000+01:00,M03,Provisional,2026,8270160.0,"[{""Id"": 16473, ""T3_Variable"": ""Totales Territoriales"", ""Nombre"": ""Total Nacional"", ""Codigo"": ""00""}, {""Id"": 284332, ""T3_Variable"": ""Concepto turístico"", ""Nombre"": ""Viajero"", ""Codigo"": ""B""}, {""Id"": 9834, ""T3_Variable"": ""TIPO DE CATEGORIA"", ""Nombre"": ""Total categorías"", ""Codigo"": """"}, {""Id"": 9975, ""T3_Variable"": ""RESIDENCIA/ORIGEN"", ""Nombre"": ""Total"", ""Codigo"": """"}, {""Id"": 72, ""T3_Variable"": ""Tipo de dato"", ""Nombre"": ""Dato"", ""Codigo"": ""0""}]",2074,2026-09-14T13:35:00.383022
EOT1,Nacional. Viajeros. Total categorías. Total.,Viajeros, ,2026-02-01T00:00:00.000+01:00,M02,Provisional,2026,6594807.0,"[{""Id"": 16473, ""T3_Variable"": ""Totales Territoriales"", ""Nombre"": ""Total Nacional"", ""Codigo"": ""00""}, {""Id"": 284332, ""T3_Variable"": ""Concepto turístico"", ""Nombre"": ""Viajero"", ""Codigo"": ""B""}, {""Id"": 9834, ""T3_Variable"": ""TIPO DE CATEGORIA"", ""Nombre"": ""Total categorías"", ""Codigo"": """"}, {""Id"": 9975, ""T3_Variable"": ""RESIDENCIA/ORIGEN"", ""Nombre"": ""Total"", ""Codigo"": """"}, {""Id"": 72, ""T3_Variable"": ""Tipo de dato"", ""Nombre"": ""Dato"", ""Codigo"": ""0""}]",2074,2026-09-14T13:35:00.383022
EOT1,Nacional. Viajeros. Total categorías. Total.,Viajeros, ,2026-01-01T00:00:00.000+01:00,M01,Provisional,2026,5948424.0,"[{""Id"": 16473, ""T3_Variable"": ""Totales Territoriales"", ""Nombre"": ""Total Nacional"", ""Codigo"": ""00""}, {""Id"": 284332, ""T3_Variable"": ""Concepto turístico"", ""Nombre"": ""Viajero"", ""Codigo"": ""B""}, {""Id"": 9834, ""T3_Variable"": ""TIPO DE CATEGORIA"", ""Nombre"": ""Total categorías"", ""Codigo"": """"}, {""Id"": 9975, ""T3_Variable"": ""RESIDENCIA/ORIGEN"", ""Nombre"": ""Total"", ""Codigo"": """"}, {""Id"": 72, ""T3_Variable"": ""Tipo de dato"", ""Nombre"": ""Dato"", ""Codigo"": ""0""}]",2074,2026-09-14T13:35:00.383022
EOT1,Nacional. Viajeros. Total categorías. Total.,Viajeros, ,2025-12-01T00:00:00.000+01:00,M12,Definitivo,2025,6890613.0,"[{""Id"": 16473, ""T3_Variable"": ""Totales Territoriales"", ""Nombre"": ""Total Nacional"", ""Codigo"": ""00""}, {""Id"": 284332, ""T3_Variable"": ""Concepto turístico"", ""Nombre"": ""Viajero"", ""Codigo"": ""B""}, {""Id"": 9834, ""T3_Variable"": ""TIPO DE CATEGORIA"", ""Nombre"": ""Total categorías"", ""Codigo"": """"}, {""Id"": 9975, ""T3_Variable"": ""RESIDENCIA/ORIGEN"", ""Nombre"": ""Total"", ""Codigo"": """"}, {""Id"": 72, ""T3_Variable"": ""Tipo de dato"", ""Nombre"": ""Dato"", ""Codigo"": ""0""}]",2074,2026-09-14T13:35:00.383022
EOT1,Nacional. Viajeros. Total categorías. Total.,Viajeros, ,2025-11-01T00:00:00.000+01:00,M11,Definitivo,2025,7380073.0,"[{""Id"": 16473, ""T3_Variable"": ""Totales Territoriales"", ""Nombre"": ""Total Nacional"", ""Codigo"": ""00""}, {""Id"": 284332, ""T3_Variable"": ""Concepto turístico"", ""Nombre"": ""Viajero"", ""Codigo"": ""B""}, {""Id"": 9834, ""T3_Variable"": ""TIPO DE CATEGORIA"", ""Nombre"": ""Total categorías"", ""Codigo"": """"}, {""Id"": 9975, ""T3_Variable"": ""RESIDENCIA/ORIGEN"", ""Nombre"": ""Total"", ""Codigo"": """"}, {""Id"": 72, ""T3_Variable"": ""Tipo de dato"", ""Nombre"": ""Dato"", ""Codigo"": ""0""}]",2074,2026-09-14T13:35:00.383022
EOT1,Nacional. Viajeros. Total categorías. Total.,Viajeros, ,2025-10-01T00:00:00.000+02:00,M10,Definitivo,2025,11012524.0,"[{""Id"": 16473, ""T3_Variable"": ""Totales Territoriales"", ""Nombre"": ""Total Nacional"", ""Codigo"": ""00""}, {""Id"": 284332, ""T3_Variable"": ""Concepto turístico"", ""Nombre"": ""Viajero"", ""Codigo"": ""B""}, {""Id"": 9834, ""T3_Variable"": ""TIPO DE CATEGORIA"", ""Nombre"": ""Total categorías"", ""Codigo"": """"}, {""Id"": 9975, ""T3_Variable"": ""RESIDENCIA/ORIGEN"", ""Nombre"": ""Total"", ""Codigo"": """"}, {""Id"": 72, ""T3_Variable"": ""Tipo de dato"", ""Nombre"": ""Dato"", ""Codigo"": ""0""}]",2074,2026-09-14T13:35:00.383022
