COD,Nombre,T3_Unidad,T3_Escala,Fecha,T3_Periodo,T3_TipoDato,Anyo,Valor,MetaData_json,tabla_id,_meta.fecha_extraccion
EOT16414,ADR. Nacional. Dato.,Euros, ,2026-07-01T00:00:00.000+02:00,M07,Provisional,2026,156.92,"[{""Id"": 16473, ""T3_Variable"": ""Totales Territoriales"", ""Nombre"": ""Total Nacional"", ""Codigo"": ""00""}, {""Id"": 284338, ""T3_Variable"": ""Concepto turístico"", ""Nombre"": ""Tarifa media diaria (ADR)"", ""Codigo"": ""F""}, {""Id"": 9834, ""T3_Variable"": ""TIPO DE CATEGORIA"", ""Nombre"": ""Total categorías"", ""Codigo"": """"}, {""Id"": 72, ""T3_Variable"": ""Tipo de dato"", ""Nombre"": ""Dato"", ""Codigo"": ""0""}]",2059,2026-09-01T20:54:48.387639
EOT16414,ADR. Nacional. Dato.,Euros, ,2026-06-01T00:00:00.000+02:00,M06,Provisional,2026,137.11,"[{""Id"": 16473, ""T3_Variable"": ""Totales Territoriales"", ""Nombre"": ""Total Nacional"", ""Codigo"": ""00""}, {""Id"": 284338, ""T3_Variable"": ""Concepto turístico"", ""Nombre"": ""Tarifa media diaria (ADR)"", ""Codigo"": ""F""}, {""Id"": 9834, ""T3_Variable"": ""TIPO DE CATEGORIA"", ""Nombre"": ""Total categorías"", ""Codigo"": """"}, {""Id"": 72, ""T3_Variable"": ""Tipo de dato"", ""Nombre"": ""Dato"", ""Codigo"": ""0""}]",2059,2026-09-01T20:54:48.387639
EOT16414,ADR. Nacional. Dato.,Euros, ,2026-05-01T00:00:00.000+02:00,M05,Provisional,2026,123.74,"[{""Id"": 16473, ""T3_Variable"": ""Totales Territoriales"", ""Nombre"": ""Total Nacional"", ""Codigo"": ""00""}, {""Id"": 284338, ""T3_Variable"": ""Concepto turístico"", ""Nombre"": ""Tarifa media diaria (ADR)"", ""Codigo"": ""F""}, {""Id"": 9834, ""T3_Variable"": ""TIPO DE CATEGORIA"", ""Nombre"": ""Total categorías"", ""Codigo"": """"}, {""Id"": 72, ""T3_Variable"": ""Tipo de dato"", ""Nombre"": ""Dato"", ""Codigo"": ""0""}]",2059,2026-09-01T20:54:48.387639
EOT16414,ADR. Nacional. Dato.,Euros, ,2026-04-01T00:00:00.000+02:00,M04,Provisional,2026,122.26,"[{""Id"": 16473, ""T3_Variable"": ""Totales Territoriales"", ""Nombre"": ""Total Nacional"", ""Codigo"": ""00""}, {""Id"": 284338, ""T3_Variable"": ""Concepto turístico"", ""Nombre"": ""Tarifa media diaria (ADR)"", ""Codigo"": ""F""}, {""Id"": 9834, ""T3_Variable"": ""TIPO DE CATEGORIA"", ""Nombre"": ""Total categorías"", ""Codigo"": """"}, {""Id"": 72, ""T3_Variable"": ""Tipo de dato"", ""Nombre"": ""Dato"", ""Codigo"": ""0""}]",2059,2026-09-01T20:54:48.387639
EOT16414,ADR. Nacional. Dato.,Euros, ,2026-03-01T00:00:00.000+01:00,M03,Provisional,2026,117.82,"[{""Id"": 16473, ""T3_Variable"": ""Totales Territoriales"", ""Nombre"": ""Total Nacional"", ""Codigo"": ""00""}, {""Id"": 284338, ""T3_Variable"": ""Concepto turístico"", ""Nombre"": ""Tarifa media diaria (ADR)"", ""Codigo"": ""F""}, {""Id"": 9834, ""T3_Variable"": ""TIPO DE CATEGORIA"", ""Nombre"": ""Total categorías"", ""Codigo"": """"}, {""Id"": 72, ""T3_Variable"": ""Tipo de dato"", ""Nombre"": ""Dato"", ""Codigo"": ""0""}]",2059,2026-09-01T20:54:48.387639
EOT16414,ADR. Nacional. Dato.,Euros, ,2026-02-01T00:00:00.000+01:00,M02,Provisional,2026,116.32,"[{""Id"": 16473, ""T3_Variable"": ""Totales Territoriales"", ""Nombre"": ""Total Nacional"", ""Codigo"": ""00""}, {""Id"": 284338, ""T3_Variable"": ""Concepto turístico"", ""Nombre"": ""Tarifa media diaria (ADR)"", ""Codigo"": ""F""}, {""Id"": 9834, ""T3_Variable"": ""TIPO DE CATEGORIA"", ""Nombre"": ""Total categorías"", ""Codigo"": """"}, {""Id"": 72, ""T3_Variable"": ""Tipo de dato"", ""Nombre"": ""Dato"", ""Codigo"": ""0""}]",2059,2026-09-01T20:54:48.387639
EOT16414,ADR. Nacional. Dato.,Euros, ,2026-01-01T00:00:00.000+01:00,M01,Provisional,2026,116.04,"[{""Id"": 16473, ""T3_Variable"": ""Totales Territoriales"", ""Nombre"": ""Total Nacional"", ""Codigo"": ""00""}, {""Id"": 284338, ""T3_Variable"": ""Concepto turístico"", ""Nombre"": ""Tarifa media diaria (ADR)"", ""Codigo"": ""F""}, {""Id"": 9834, ""T3_Variable"": ""TIPO DE CATEGORIA"", ""Nombre"": ""Total categorías"", ""Codigo"": """"}, {""Id"": 72, ""T3_Variable"": ""Tipo de dato"", ""Nombre"": ""Dato"", ""Codigo"": ""0""}]",2059,2026-09-01T20:54:48.387639
EOT16414,ADR. Nacional. Dato.,Euros, ,2025-12-01T00:00:00.000+01:00,M12,Provisional,2025,120.31,"[{""Id"": 16473, ""T3_Variable"": ""Totales Territoriales"", ""Nombre"": ""Total Nacional"", ""Codigo"": ""00""}, {""Id"": 284338, ""T3_Variable"": ""Concepto turístico"", ""Nombre"": ""Tarifa media diaria (ADR)"", ""Codigo"": ""F""}, {""Id"": 9834, ""T3_Variable"": ""TIPO DE CATEGORIA"", ""Nombre"": ""Total categorías"", ""Codigo"": """"}, {""Id"": 72, ""T3_Variable"": ""Tipo de dato"", ""Nombre"": ""Dato"", ""Codigo"": ""0""}]",2059,2026-09-01T20:54:48.387639
EOT16414,ADR. Nacional. Dato.,Euros, ,2025-11-01T00:00:00.000+01:00,M11,Provisional,2025,117.09,"[{""Id"": 16473, ""T3_Variable"": ""Totales Territoriales"", ""Nombre"": ""Total Nacional"", ""Codigo"": ""00""}, {""Id"": 284338, ""T3_Variable"": ""Concepto turístico"", ""Nombre"": ""Tarifa media diaria (ADR)"", ""Codigo"": ""F""}, {""Id"": 9834, ""T3_Variable"": ""TIPO DE CATEGORIA"", ""Nombre"": ""Total categorías"", ""Codigo"": """"}, {""Id"": 72, ""T3_Variable"": ""Tipo de dato"", ""Nombre"": ""Dato"", ""Codigo"": ""0""}]",2059,2026-09-01T20:54:48.387639
EOT16414,ADR. Nacional. Dato.,Euros, ,2025-10-01T00:00:00.000+02:00,M10,Provisional,2025,120.54,"[{""Id"": 16473, ""T3_Variable"": ""Totales Territoriales"", ""Nombre"": ""Total Nacional"", ""Codigo"": ""00""}, {""Id"": 284338, ""T3_Variable"": ""Concepto turístico"", ""Nombre"": ""Tarifa media diaria (ADR)"", ""Codigo"": ""F""}, {""Id"": 9834, ""T3_Variable"": ""TIPO DE CATEGORIA"", ""Nombre"": ""Total categorías"", ""Codigo"": """"}, {""Id"": 72, ""T3_Variable"": ""Tipo de dato"", ""Nombre"": ""Dato"", ""Codigo"": ""0""}]",2059,2026-09-01T20:54:48.387639
