COD_PROV,PROVINCIA,Anyo,Periodo,pernoctaciones,viajeros,_meta.fecha_extraccion
01,Araba/Álava,2025,M01,1956.0,904.0,2026-09-14T13:39:22.163107
01,Araba/Álava,2025,M02,1716.0,949.0,2026-09-14T13:39:22.163107
01,Araba/Álava,2025,M03,3389.0,1814.0,2026-09-14T13:39:22.163107
01,Araba/Álava,2025,M04,6275.0,2359.0,2026-09-14T13:39:22.163107
01,Araba/Álava,2025,M05,6870.0,3214.0,2026-09-14T13:39:22.163107
01,Araba/Álava,2025,M06,5812.0,2724.0,2026-09-14T13:39:22.163107
01,Araba/Álava,2025,M07,8015.0,2770.0,2026-09-14T13:39:22.163107
01,Araba/Álava,2025,M08,13356.0,3031.0,2026-09-14T13:39:22.163107
01,Araba/Álava,2025,M09,5843.0,2580.0,2026-09-14T13:39:22.163107
01,Araba/Álava,2025,M10,6551.0,3197.0,2026-09-14T13:39:22.163107
01,Araba/Álava,2025,M11,5050.0,2379.0,2026-09-14T13:39:22.163107
01,Araba/Álava,2025,M12,6714.0,2721.0,2026-09-14T13:39:22.163107
01,Araba/Álava,2026,M01,2765.0,1495.0,2026-09-14T13:39:22.163107
01,Araba/Álava,2026,M02,2202.0,1092.0,2026-09-14T13:39:22.163107
01,Araba/Álava,2026,M03,3506.0,1667.0,2026-09-14T13:39:22.163107
01,Araba/Álava,2026,M04,7194.0,3080.0,2026-09-14T13:39:22.163107
01,Araba/Álava,2026,M05,6636.0,3149.0,2026-09-14T13:39:22.163107
01,Araba/Álava,2026,M06,5729.0,2791.0,2026-09-14T13:39:22.163107
01,Araba/Álava,2026,M07,7611.0,3090.0,2026-09-14T13:39:22.163107
02,Albacete,2025,M01,8808.0,3551.0,2026-09-14T13:39:22.163107
02,Albacete,2025,M02,13127.0,5689.0,2026-09-14T13:39:22.163107
02,Albacete,2025,M03,14423.0,6402.0,2026-09-14T13:39:22.163107
02,Albacete,2025,M04,27537.0,11271.0,2026-09-14T13:39:22.163107
02,Albacete,2025,M05,22559.0,9791.0,2026-09-14T13:39:22.163107
02,Albacete,2025,M06,23675.0,10389.0,2026-09-14T13:39:22.163107
02,Albacete,2025,M07,34195.0,12311.0,2026-09-14T13:39:22.163107
02,Albacete,2025,M08,58902.0,18606.0,2026-09-14T13:39:22.163107
02,Albacete,2025,M09,25615.0,10998.0,2026-09-14T13:39:22.163107
02,Albacete,2025,M10,25176.0,11233.0,2026-09-14T13:39:22.163107
02,Albacete,2025,M11,21828.0,10046.0,2026-09-14T13:39:22.163107
02,Albacete,2025,M12,30569.0,11732.0,2026-09-14T13:39:22.163107
02,Albacete,2026,M01,16400.0,5289.0,2026-09-14T13:39:22.163107
02,Albacete,2026,M02,15925.0,5363.0,2026-09-14T13:39:22.163107
02,Albacete,2026,M03,20998.0,8434.0,2026-09-14T13:39:22.163107
02,Albacete,2026,M04,29215.0,10789.0,2026-09-14T13:39:22.163107
02,Albacete,2026,M05,24076.0,9220.0,2026-09-14T13:39:22.163107
02,Albacete,2026,M06,26440.0,10370.0,2026-09-14T13:39:22.163107
02,Albacete,2026,M07,42209.0,15659.0,2026-09-14T13:39:22.163107
03,Alicante/Alacant,2025,M01,2540.0,1577.0,2026-09-14T13:39:22.163107
03,Alicante/Alacant,2025,M02,3460.0,1945.0,2026-09-14T13:39:22.163107
03,Alicante/Alacant,2025,M03,3757.0,1848.0,2026-09-14T13:39:22.163107
03,Alicante/Alacant,2025,M04,6001.0,2381.0,2026-09-14T13:39:22.163107
03,Alicante/Alacant,2025,M05,5016.0,2337.0,2026-09-14T13:39:22.163107
03,Alicante/Alacant,2025,M06,6151.0,2914.0,2026-09-14T13:39:22.163107
03,Alicante/Alacant,2025,M07,11246.0,3804.0,2026-09-14T13:39:22.163107
03,Alicante/Alacant,2025,M08,15633.0,4981.0,2026-09-14T13:39:22.163107
03,Alicante/Alacant,2025,M09,5624.0,2183.0,2026-09-14T13:39:22.163107
03,Alicante/Alacant,2025,M10,4898.0,2360.0,2026-09-14T13:39:22.163107
03,Alicante/Alacant,2025,M11,5117.0,2405.0,2026-09-14T13:39:22.163107
03,Alicante/Alacant,2025,M12,6737.0,2652.0,2026-09-14T13:39:22.163107
03,Alicante/Alacant,2026,M01,3172.0,1523.0,2026-09-14T13:39:22.163107
03,Alicante/Alacant,2026,M02,3239.0,1797.0,2026-09-14T13:39:22.163107
03,Alicante/Alacant,2026,M03,3893.0,2152.0,2026-09-14T13:39:22.163107
03,Alicante/Alacant,2026,M04,6726.0,2968.0,2026-09-14T13:39:22.163107
03,Alicante/Alacant,2026,M05,5483.0,2535.0,2026-09-14T13:39:22.163107
03,Alicante/Alacant,2026,M06,5690.0,2795.0,2026-09-14T13:39:22.163107
03,Alicante/Alacant,2026,M07,8236.0,3773.0,2026-09-14T13:39:22.163107
04,Almería,2025,M01,1002.0,472.0,2026-09-14T13:39:22.163107
04,Almería,2025,M02,1935.0,1179.0,2026-09-14T13:39:22.163107
04,Almería,2025,M03,1866.0,906.0,2026-09-14T13:39:22.163107
04,Almería,2025,M04,2919.0,1271.0,2026-09-14T13:39:22.163107
04,Almería,2025,M05,1930.0,1001.0,2026-09-14T13:39:22.163107
04,Almería,2025,M06,4857.0,2091.0,2026-09-14T13:39:22.163107
04,Almería,2025,M07,7840.0,3043.0,2026-09-14T13:39:22.163107
04,Almería,2025,M08,12756.0,3778.0,2026-09-14T13:39:22.163107
04,Almería,2025,M09,4037.0,1576.0,2026-09-14T13:39:22.163107
04,Almería,2025,M10,2949.0,1209.0,2026-09-14T13:39:22.163107
04,Almería,2025,M11,2622.0,1500.0,2026-09-14T13:39:22.163107
04,Almería,2025,M12,3763.0,1877.0,2026-09-14T13:39:22.163107
04,Almería,2026,M01,2058.0,1021.0,2026-09-14T13:39:22.163107
04,Almería,2026,M02,2286.0,1269.0,2026-09-14T13:39:22.163107
04,Almería,2026,M03,3156.0,1451.0,2026-09-14T13:39:22.163107
04,Almería,2026,M04,3799.0,1703.0,2026-09-14T13:39:22.163107
04,Almería,2026,M05,3718.0,1737.0,2026-09-14T13:39:22.163107
04,Almería,2026,M06,4245.0,1736.0,2026-09-14T13:39:22.163107
04,Almería,2026,M07,7503.0,3213.0,2026-09-14T13:39:22.163107
05,Ávila,2025,M01,14626.0,6564.0,2026-09-14T13:39:22.163107
05,Ávila,2025,M02,15095.0,7649.0,2026-09-14T13:39:22.163107
05,Ávila,2025,M03,20526.0,9460.0,2026-09-14T13:39:22.163107
05,Ávila,2025,M04,29657.0,10650.0,2026-09-14T13:39:22.163107
05,Ávila,2025,M05,27083.0,12562.0,2026-09-14T13:39:22.163107
05,Ávila,2025,M06,28182.0,13332.0,2026-09-14T13:39:22.163107
05,Ávila,2025,M07,40592.0,14858.0,2026-09-14T13:39:22.163107
05,Ávila,2025,M08,58933.0,16329.0,2026-09-14T13:39:22.163107
05,Ávila,2025,M09,25363.0,11763.0,2026-09-14T13:39:22.163107
05,Ávila,2025,M10,21913.0,11265.0,2026-09-14T13:39:22.163107
05,Ávila,2025,M11,20213.0,10053.0,2026-09-14T13:39:22.163107
05,Ávila,2025,M12,28965.0,12056.0,2026-09-14T13:39:22.163107
05,Ávila,2026,M01,12626.0,5726.0,2026-09-14T13:39:22.163107
05,Ávila,2026,M02,13821.0,6826.0,2026-09-14T13:39:22.163107
05,Ávila,2026,M03,16570.0,8404.0,2026-09-14T13:39:22.163107
05,Ávila,2026,M04,23096.0,10597.0,2026-09-14T13:39:22.163107
05,Ávila,2026,M05,23494.0,11679.0,2026-09-14T13:39:22.163107
05,Ávila,2026,M06,20975.0,10212.0,2026-09-14T13:39:22.163107
05,Ávila,2026,M07,29754.0,12712.0,2026-09-14T13:39:22.163107
06,Badajoz,2025,M01,4889.0,2544.0,2026-09-14T13:39:22.163107
06,Badajoz,2025,M02,7517.0,4428.0,2026-09-14T13:39:22.163107
06,Badajoz,2025,M03,7774.0,4674.0,2026-09-14T13:39:22.163107
06,Badajoz,2025,M04,12715.0,6042.0,2026-09-14T13:39:22.163107
