COD_PROV,PROVINCIA,Anyo,Periodo,establecimientos_abiertos,grado_ocupacion_finsemana,grado_ocupacion_habitaciones,grado_ocupacion_plazas,plazas_estimadas,_meta.fecha_extraccion
01,Araba/Álava,2024,M08,96.0,50.97,55.95,49.15,1003.0,2026-09-14T13:39:21.195883
01,Araba/Álava,2024,M09,100.0,53.28,30.5,26.29,1045.0,2026-09-14T13:39:21.195883
01,Araba/Álava,2024,M10,98.0,56.76,29.79,26.26,1023.0,2026-09-14T13:39:21.195883
01,Araba/Álava,2024,M11,96.0,45.72,26.34,22.21,1018.0,2026-09-14T13:39:21.195883
01,Araba/Álava,2024,M12,96.0,35.27,25.78,22.57,985.0,2026-09-14T13:39:21.195883
01,Araba/Álava,2025,M01,80.0,21.06,10.75,8.38,783.0,2026-09-14T13:39:21.195883
01,Araba/Álava,2025,M02,76.0,24.16,10.77,9.45,768.0,2026-09-14T13:39:21.195883
01,Araba/Álava,2025,M03,90.0,36.29,17.58,14.68,934.0,2026-09-14T13:39:21.195883
01,Araba/Álava,2025,M04,99.0,48.27,27.68,23.64,1035.0,2026-09-14T13:39:21.195883
01,Araba/Álava,2025,M05,101.0,51.72,29.7,25.9,1054.0,2026-09-14T13:39:21.195883
01,Araba/Álava,2025,M06,96.0,57.13,29.45,24.41,1006.0,2026-09-14T13:39:21.195883
01,Araba/Álava,2025,M07,99.0,56.72,38.64,32.41,1045.0,2026-09-14T13:39:21.195883
01,Araba/Álava,2025,M08,99.0,48.26,58.06,50.33,1020.0,2026-09-14T13:39:21.195883
01,Araba/Álava,2025,M09,99.0,55.3,29.3,24.37,1038.0,2026-09-14T13:39:21.195883
01,Araba/Álava,2025,M10,101.0,53.47,26.75,22.83,1060.0,2026-09-14T13:39:21.195883
01,Araba/Álava,2025,M11,99.0,44.09,19.79,18.0,1066.0,2026-09-14T13:39:21.195883
01,Araba/Álava,2025,M12,92.0,29.02,24.48,21.9,1013.0,2026-09-14T13:39:21.195883
01,Araba/Álava,2026,M01,74.0,23.29,21.13,15.73,763.0,2026-09-14T13:39:21.195883
01,Araba/Álava,2026,M02,86.0,27.37,19.09,13.5,913.0,2026-09-14T13:39:21.195883
01,Araba/Álava,2026,M03,92.0,39.33,20.43,15.94,969.0,2026-09-14T13:39:21.195883
01,Araba/Álava,2026,M04,102.0,56.44,28.01,25.36,1114.0,2026-09-14T13:39:21.195883
01,Araba/Álava,2026,M05,104.0,56.0,30.11,24.36,1117.0,2026-09-14T13:39:21.195883
01,Araba/Álava,2026,M06,101.0,53.21,24.11,20.57,1103.0,2026-09-14T13:39:21.195883
01,Araba/Álava,2026,M07,101.0,52.5,36.84,30.04,1090.0,2026-09-14T13:39:21.195883
02,Albacete,2024,M08,663.0,49.44,43.41,35.81,4678.0,2026-09-14T13:39:21.195883
02,Albacete,2024,M09,662.0,31.35,17.62,12.1,4676.0,2026-09-14T13:39:21.195883
02,Albacete,2024,M10,688.0,29.46,15.49,10.23,4975.0,2026-09-14T13:39:21.195883
02,Albacete,2024,M11,683.0,25.32,15.13,10.39,4949.0,2026-09-14T13:39:21.195883
02,Albacete,2024,M12,665.0,30.13,24.34,17.28,4858.0,2026-09-14T13:39:21.195883
02,Albacete,2025,M01,553.0,15.96,13.25,7.13,4063.0,2026-09-14T13:39:21.195883
02,Albacete,2025,M02,602.0,29.02,16.9,10.91,4375.0,2026-09-14T13:39:21.195883
02,Albacete,2025,M03,579.0,30.26,17.04,11.37,4176.0,2026-09-14T13:39:21.195883
02,Albacete,2025,M04,683.0,44.57,24.31,17.85,5150.0,2026-09-14T13:39:21.195883
02,Albacete,2025,M05,735.0,30.63,19.97,13.79,5431.0,2026-09-14T13:39:21.195883
02,Albacete,2025,M06,732.0,40.7,20.19,15.06,5355.0,2026-09-14T13:39:21.195883
02,Albacete,2025,M07,713.0,49.53,29.6,21.44,5162.0,2026-09-14T13:39:21.195883
02,Albacete,2025,M08,744.0,51.68,48.16,35.66,5364.0,2026-09-14T13:39:21.195883
02,Albacete,2025,M09,706.0,38.87,23.29,16.25,5298.0,2026-09-14T13:39:21.195883
02,Albacete,2025,M10,696.0,41.24,25.2,15.85,5179.0,2026-09-14T13:39:21.195883
02,Albacete,2025,M11,704.0,37.7,19.0,13.84,5327.0,2026-09-14T13:39:21.195883
02,Albacete,2025,M12,642.0,34.59,24.97,20.52,4910.0,2026-09-14T13:39:21.195883
